task,task_normalized,pct,occ_group_code,title,task_id,task_type,n_responding,date,domain_source,soc_group_code,soc_title,n_occurrences,n_occurrences_soc,pct_occ_weighted,pct_occ_norm,area_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,freq_mean,freq_lower,freq_upper,importance,importance_lower,importance_upper,relevance,relevance_lower,relevance_upper
Establish objectives and evaluative or operational criteria for units they manage.,establish objective and evaluative or operational criterion for unit they manage,0.0040390353220153,11-9111,Medical and Health Services Managers,47.0,Core,28.0,06/2008,Occupational Expert,11,Management Occupations,1.0,1.0,0.0033217643068924117,0.004058579706577737,U.S.,565840.0,0.5,66.22,137730,0.4,33.5,42.58,56.71,78.09,105.33,69680,88560,117960,162420,219080,,,,,,,,,,,
"Develop and maintain computerized record management systems to store and process data such as personnel activities and information, and to produce reports.",develop and maintain computerized record management system to store and process datum such as personnel activity and information and to produce report,0.01315943766205,11-9111,Medical and Health Services Managers,49.0,Core,29.0,06/2008,Occupational Expert,11,Management Occupations,1.0,1.0,0.010822522419230242,0.013223114527882458,U.S.,565840.0,0.5,66.22,137730,0.4,33.5,42.58,56.71,78.09,105.33,69680,88560,117960,162420,219080,,,2.1067253846153844,0.0,0.0,4.31,,,92.86,,
"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",maintain awareness of advance in medicine computerized diagnostic and treatment equipment datum processing technology government regulation health insurance change and financing option,0.0054722414040207,11-9111,Medical and Health Services Managers,55.0,Core,29.0,06/2008,Occupational Expert,11,Management Occupations,1.0,1.0,0.0045004548674025995,0.005498720892782712,U.S.,565840.0,0.5,66.22,137730,0.4,33.5,42.58,56.71,78.09,105.33,69680,88560,117960,162420,219080,,,1.6835384615384614,0.0,0.0,4.16,,,89.29,,
"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",prepare activity report to inform management of the status and implementation plan of program service and quality initiative,0.0083386535680316,11-9111,Medical and Health Services Managers,57.0,Core,28.0,06/2008,Occupational Expert,11,Management Occupations,1.0,1.0,0.006857835988423056,0.008379003265192763,U.S.,565840.0,0.5,66.22,137730,0.4,33.5,42.58,56.71,78.09,105.33,69680,88560,117960,162420,219080,,,0.6832715384615385,0.0,0.0,3.78,,,96.43,,
Develop instructional materials and conduct in-service and community-based educational programs.,develop instructional material and conduct in service and community base educational program,0.0195437193000742,11-9111,Medical and Health Services Managers,63.0,Supplemental,28.0,06/2008,Occupational Expert,11,Management Occupations,1.0,1.0,0.016073053097866646,0.019638288902795672,U.S.,565840.0,0.5,66.22,137730,0.4,33.5,42.58,56.71,78.09,105.33,69680,88560,117960,162420,219080,,,0.6178807692307692,0.0,0.0,3.41,,,78.57,,
"Develop client relationships and communicate with clients to explain proposals, present research findings, establish specifications, or discuss project status.",develop client relationship and communicate with client to explain proposal present research finding establish specification or discuss project status,0.011856523042045,11-9121,Natural Sciences Managers,7204.0,Core,69.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.009750985546039087,0.011913895267696026,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.7132042307692308,0.22637331923076923,2.567347776923077,3.97,3.7502,4.1961,93.71,87.5755,96.9234
"Develop or implement policies, standards, or procedures for the architectural, scientific, or technical work performed to ensure regulatory compliance or operations enhancement.",develop or implement policy standard or procedure for the architectural scientific or technical work perform to ensure regulatory compliance or operation enhancement,0.0039087438600148,11-9121,Natural Sciences Managers,7211.0,Core,70.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.003214610619573297,0.003927657780559094,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.3204180769230769,0.14051087692307693,0.8521949230769231,3.71,3.318,4.1095,91.0,75.103,97.1352
Advise or assist in obtaining patents or meeting other legal requirements.,Advise or assist in obtain patent or meet other legal requirement,0.0143320608200544,11-9121,Natural Sciences Managers,7216.0,Supplemental,69.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.011786905605102198,0.014401411862050146,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.1080076923076923,0.028047276923076927,0.3400688307692307,3.05,2.7207,3.3734,43.93,23.7414,66.3528
"Review project activities and prepare and review research, testing, or operational reports.",Review project activity and prepare and review research testing or operational report,0.0166773071360633,11-9121,Natural Sciences Managers,7208.0,Core,70.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.01371567197684619,0.01675800653038562,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,1.0028465384615384,0.44029118076923074,2.801307753846154,4.09,3.8691,4.3051,100.0,,
Prepare project proposals.,prepare project proposal,0.0023452463160089,11-9121,Natural Sciences Managers,7206.0,Core,70.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.0019287663717439947,0.002356594668335477,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.08952038461538461,0.029257596153846155,0.31709411923076924,3.86,3.5265,4.1946,88.93,81.0708,93.7752
"Design or coordinate successive phases of problem analysis, solution proposals, or testing.",design or coordinate successive phase of problem analysis solution proposal or testing,0.0088598194160336,11-9121,Natural Sciences Managers,7207.0,Core,68.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.007286450737699516,0.008902690969267334,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,1.460773076923077,0.6655575846153845,3.024109365384615,4.23,3.9831,4.4736,96.82,91.1334,98.9007
Communicate with laboratories or investigators regarding laboratory findings.,communicate with laboratory or investigator regard laboratory finding,0.0033875780120128,11-9121,Clinical Research Coordinators,15607.0,Core,72.0,07/2011,Incumbent,11,Management Occupations,1.0,1.0,0.0027859958702968353,0.003403970076484522,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.7118715384615385,0.2829582076923077,1.6828152307692308,3.62,3.174,4.0634,78.48,57.8445,90.6517
"Identify protocol problems, inform investigators of problems, or assist in problem resolution efforts such as protocol revisions.",identify protocol problem inform investigator of problem or assist in problem resolution effort such as protocol revision,0.0023452463160089,11-9121,Clinical Research Coordinators,15603.0,Core,72.0,07/2011,Incumbent,11,Management Occupations,1.0,1.0,0.0019287663717439947,0.002356594668335477,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,1.151658076923077,0.3347828230769231,3.6320811461538463,4.25,3.8179,4.6802,95.01,83.4527,98.6286
"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, and potential subject risks.",Review propose study protocol to evaluate factor such as sample collection process datum management plan and potential subject risk,0.0140714778960534,11-9121,Clinical Research Coordinators,15593.0,Core,70.0,07/2011,Incumbent,11,Management Occupations,1.0,1.0,0.011572598230463969,0.014139568010012862,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,,,,,,,,,
Participate in the development of study protocols including guidelines for administration or data collection procedures.,participate in the development of study protocol include guideline for administration or data collection procedure,0.0040390353220153,11-9121,Clinical Research Coordinators,15596.0,Core,71.0,07/2011,Incumbent,11,Management Occupations,1.0,1.0,0.0033217643068924117,0.004058579706577737,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.22128807692307695,0.08090498846153846,0.6519623038461538,3.74,3.117,4.3593,79.1,62.4614,89.5966
"Prepare study-related documentation such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, and progress reports.",prepare study relate documentation such as protocol worksheet procedural manual adverse event report institutional review board document and progress report,0.0119868145040455,11-9121,Clinical Research Coordinators,15595.0,Core,74.0,07/2011,Incumbent,11,Management Occupations,1.0,1.0,0.009858139233358203,0.01204481719371467,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,,,,,,,,,
"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",collaborate with investigator to prepare presentation or report of clinical study procedure result and conclusion,0.0057328243280217,11-9121,Clinical Research Coordinators,15608.0,Core,72.0,07/2011,Incumbent,11,Management Occupations,1.0,1.0,0.00471476224204083,0.005760564744819999,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.9092961538461539,0.19897278846153849,4.299605311538461,4.11,3.7372,4.49,76.34,59.3973,87.6806
"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",review scientific literature participate in continue education activity or attend conference and seminar to maintain current knowledge of clinical study affair and issue,0.0065145731000247,11-9121,Clinical Research Coordinators,15583.0,Core,71.0,07/2011,Incumbent,11,Management Occupations,1.0,1.0,0.0053576843659555225,0.006546096300931858,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.1309823076923077,0.06166723461538461,0.33674325,3.48,3.0588,3.9037,84.9,68.9252,93.4464
Interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics.,interpret protocol and advise treat physician on appropriate dosage modification or treatment calculation base on patient characteristic,0.0078174877200297,11-9121,Clinical Research Coordinators,15588.0,Supplemental,71.0,07/2011,Incumbent,11,Management Occupations,1.0,1.0,0.006429221239146677,0.00785531556111829,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,1.772298076923077,0.2644137,7.564462542307693,3.73,3.2649,4.1897,31.04,20.5865,43.8698
"Code, evaluate, or interpret collected study data.",code evaluate or interpret collect study datum,0.0299670362601138,11-9121,Clinical Research Coordinators,15609.0,Core,74.0,07/2011,Incumbent,11,Management Occupations,1.0,1.0,0.024645348083395552,0.030112042984286727,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.9810926923076924,0.3027649,3.19699565,4.07,3.7397,4.3908,72.21,51.8055,86.2679
Inform patients or caregivers about study aspects and outcomes to be expected.,inform patient or caregiver about study aspect and outcome to be expect,0.0066448645620252,11-9121,Clinical Research Coordinators,15602.0,Supplemental,71.0,07/2011,Incumbent,11,Management Occupations,1.0,1.0,0.005464838053274638,0.006677018226950501,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,2.05304,0.7675723615384615,5.009315161538462,4.38,4.1112,4.6401,89.97,71.9391,96.9099
"Conduct, or oversee the conduct of, chemical, physical, and biological water quality monitoring or sampling to ensure compliance with water quality standards.",conduct or oversee the conduct of chemical physical and biological water quality monitoring or sample to ensure compliance with water quality standard,0.0035178694740133,11-9121,Water Resource Specialists,15635.0,Core,29.0,07/2012,Occupational Expert,11,Management Occupations,1.0,1.0,0.0028931495576159506,0.0035348920025031648,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.15192307692307694,0.0,0.0,3.35,,,90.91,,
"Present water resource proposals to government, public interest groups, or community groups.",present water resource proposal to government public interest group or community group,0.0027361207020103,11-9121,Water Resource Specialists,15624.0,Core,29.0,07/2012,Occupational Expert,11,Management Occupations,1.0,1.0,0.0022502274337012585,0.002749360446391306,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.6093065384615384,0.0,0.0,3.68,,,100.0,,
Provide technical expertise to assist communities in the development or implementation of storm water monitoring or other water programs.,provide technical expertise to assist community in the development or implementation of storm water monitoring or other water program,0.0065145731000247,11-9121,Water Resource Specialists,15623.0,Core,29.0,07/2012,Occupational Expert,11,Management Occupations,1.0,1.0,0.0053576843659555225,0.006546096300931858,U.S.,100870.0,1.6,83.41,173500,0.9,38.38,54.86,77.49,103.28,,79830,114110,161180,214820,,,,0.7389184615384614,0.0,0.0,3.52,,,95.45,,
Review rents to ensure that they are in line with rental markets.,review rent to ensure that they be in line with rental market,0.0024755377780094,11-9141,"Property, Real Estate, and Community Association Managers",7233.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.00203592005906311,0.0024875165943541197,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.30441615384615384,0.0,0.0,4.46,,,65.0,,
"Manage and oversee operations, maintenance, administration, and improvement of commercial, industrial, or residential properties.",manage and oversee operation maintenance administration and improvement of commercial industrial or residential property,0.0117262315800445,11-9141,"Property, Real Estate, and Community Association Managers",7224.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.009643831858719972,0.011782973341677383,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,2.9,0.0,0.0,4.55,,,100.0,,
"Plan, schedule, and coordinate general maintenance, major repairs, and remodeling or construction projects for commercial or residential properties.",plan schedule and coordinate general maintenance major repair and remodeling or construction project for commercial or residential property,0.0052116584800198,11-9141,"Property, Real Estate, and Community Association Managers",7223.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.0042861474927644505,0.005236877040745526,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,1.777478846153846,0.0,0.0,4.47,,,95.0,,
"Direct collection of monthly assessments, rental fees, and deposits and payment of insurance premiums, mortgage, taxes, and incurred operating expenses.",direct collection of monthly assessment rental fee and deposit and payment of insurance premium mortgage taxis and incur operating expense,0.0031269950880118,11-9141,"Property, Real Estate, and Community Association Managers",7220.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.002571688495658605,0.0031421262244472354,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.5976699999999999,0.0,0.0,4.42,,,95.0,,
"Meet with prospective tenants to show properties, explain terms of occupancy, and provide information about local areas.",meet with prospective tenant to show property explain term of occupancy and provide information about local area,0.0059934072520227,11-9141,"Property, Real Estate, and Community Association Managers",7219.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.004929069616679061,0.006022408596857285,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.6989276923076924,0.0,0.0,3.83,,,60.0,,
"Meet with clients to negotiate management and service contracts, determine priorities, and discuss the financial and operational status of properties.",meet with client to negotiate management and service contract determine priority and discuss the financial and operational status of property,0.0084689450300321,11-9141,"Property, Real Estate, and Community Association Managers",7241.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.006964989675742171,0.008509925191211404,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.2855769230769231,0.0,0.0,4.4,,,100.0,,
Prepare detailed budgets and financial reports for properties.,prepare detailed budget and financial report for property,0.0019543719300074,11-9141,"Property, Real Estate, and Community Association Managers",7228.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.0016073053097866484,0.001963828890279547,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.16251,0.0,0.0,4.63,,,95.0,,
"Determine and certify the eligibility of prospective tenants, following government regulations.",determine and certify the eligibility of prospective tenant follow government regulation,0.0022149548540084,11-9141,"Property, Real Estate, and Community Association Managers",7227.0,Supplemental,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.001821612684424879,0.0022256727423168336,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.2798161538461539,0.0,0.0,4.0,,,65.0,,
"Market vacant space to prospective tenants through leasing agents, advertising, or other methods.",market vacant space to prospective tenant through lease agent advertising or other method,0.0028664121640108,11-9141,"Property, Real Estate, and Community Association Managers",7231.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.0023573811210203743,0.0028802823724099493,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.65813,0.0,0.0,4.21,,,70.0,,
"Investigate complaints, disturbances and violations and resolve problems following management rules and regulations.",investigate complaint disturbance and violation and resolve problem follow management rule and regulation,0.0024755377780094,11-9141,"Property, Real Estate, and Community Association Managers",7222.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.00203592005906311,0.0024875165943541197,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.7262307692307692,0.0,0.0,4.06,,,90.0,,
Act as liaisons between on-site managers or tenants and owners.,Act as liaison between on site manager or tenant and owner,0.0050813670180193,11-9141,"Property, Real Estate, and Community Association Managers",7236.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.004178993805445335,0.005105955114726883,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.5952292307692308,0.0,0.0,4.06,,,85.0,,
"Negotiate the sale, lease, or development of property and complete or review appropriate documents and forms.",negotiate the sale lease or development of property and complete or review appropriate document and form,0.0109444828080415,11-9141,"Property, Real Estate, and Community Association Managers",7225.0,Supplemental,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.00900090973480528,0.010997441785565524,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.16292076923076923,0.0,0.0,3.55,,,55.0,,
"Maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.",maintain record of sale rental or usage activity special permit issue maintenance and operating cost or property availability,0.0136806035100519,11-9141,"Property, Real Estate, and Community Association Managers",7226.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.01125113716850662,0.01374680223195693,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.46155230769230765,0.0,0.0,3.89,,,90.0,,
Meet with boards of directors and committees to discuss and resolve legal and environmental issues or disputes between neighbors.,meet with board of director and committee to discuss and resolve legal and environmental issue or dispute between neighbor,0.0026058292400099,11-9141,"Property, Real Estate, and Community Association Managers",7238.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.0021430737463822252,0.002618438520372763,U.S.,296640.0,1.8,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,,0.1762019230769231,0.0,0.0,3.88,,,80.0,,
Research and analyze member or community needs to determine program directions and goals.,research and analyze member or community need to determine program direction and goal,0.0072963218720277,11-9151,Social and Community Service Managers,1133.0,Core,72.0,06/2009,Incumbent,11,Management Occupations,1.0,1.0,0.006000606489870214,0.007331627857043717,U.S.,195490.0,1.1,41.39,86100,1.0,24.05,30.01,37.61,48.36,62.41,50020,62420,78240,100600,129820,,,1.060841923076923,0.3589857999999999,2.912976873076923,3.89,3.6644,4.1145,83.99,66.5568,93.2581
Evaluate the work of staff and volunteers to ensure that programs are of appropriate quality and that resources are used effectively.,evaluate the work of staff and volunteer to ensure that program be of appropriate quality and that resource be use effectively,0.0036481609360138,11-9151,Social and Community Service Managers,1130.0,Core,71.0,06/2009,Incumbent,11,Management Occupations,1.0,1.0,0.0030003032449350663,0.003665813928521808,U.S.,195490.0,1.1,41.39,86100,1.0,24.05,30.01,37.61,48.36,62.41,50020,62420,78240,100600,129820,,,1.3156703846153845,0.5503329884615384,3.1301953653846155,4.32,4.1118,4.5337,93.61,77.313,98.4355
"Prepare and maintain records and reports, such as budgets, personnel records, or training manuals.",prepare and maintain record and report such as budget personnel record or training manual,0.0057328243280217,11-9151,Social and Community Service Managers,1128.0,Core,72.0,06/2009,Incumbent,11,Management Occupations,1.0,1.0,0.00471476224204083,0.005760564744819999,U.S.,195490.0,1.1,41.39,86100,1.0,24.05,30.01,37.61,48.36,62.41,50020,62420,78240,100600,129820,,,1.144008846153846,0.45932493846153843,2.819655169230769,4.21,3.9831,4.4325,90.36,77.3828,96.2485
"Speak to community groups to explain and interpret agency purposes, programs, and policies.",speak to community group to explain and interpret agency purpose program and policy,0.0048207840940183,11-9151,Social and Community Service Managers,1134.0,Core,72.0,06/2009,Incumbent,11,Management Occupations,1.0,1.0,0.003964686430807105,0.0048441112626895965,U.S.,195490.0,1.1,41.39,86100,1.0,24.05,30.01,37.61,48.36,62.41,50020,62420,78240,100600,129820,,,0.42212346153846153,0.11273292692307693,1.9726025153846154,3.42,3.1465,3.6979,89.92,78.4399,95.6298
"Prepare plans that outline operating procedures to be used in response to disasters or emergencies, such as hurricanes, nuclear accidents, and terrorist attacks, and in recovery from these events.",prepare plan that outline operating procedure to be use in response to disaster or emergency such as hurricane nuclear accident and terrorist attack and in recovery from these event,0.0028664121640108,11-9161,Emergency Management Directors,7254.0,Core,27.0,06/2010,Occupational Expert,11,Management Occupations,1.0,1.0,0.0023573811210203743,0.0028802823724099493,U.S.,12570.0,1.3,46.97,97700,0.7,24.64,30.99,41.41,57.54,77.12,51260,64470,86130,119690,160420,,,0.05698807692307693,0.0,0.0,4.29,,,100.0,,
Design and administer emergency or disaster preparedness training courses that teach people how to effectively respond to major emergencies and disasters.,design and administer emergency or disaster preparedness training course that teach people how to effectively respond to major emergency and disaster,0.0019543719300074,11-9161,Emergency Management Directors,7261.0,Core,27.0,06/2010,Occupational Expert,11,Management Occupations,1.0,1.0,0.0016073053097866484,0.001963828890279547,U.S.,12570.0,1.3,46.97,97700,0.7,24.64,30.99,41.41,57.54,77.12,51260,64470,86130,119690,160420,,,0.07674846153846154,0.0,0.0,4.09,,,100.0,,
Develop instructional materials for the public and make presentations to citizens' groups to provide information on emergency plans and their implementation processes.,develop instructional material for the public and make presentation to citizen group to provide information on emergency plan and their implementation process,0.0024755377780094,11-9161,Emergency Management Directors,7267.0,Core,27.0,06/2010,Occupational Expert,11,Management Occupations,1.0,1.0,0.00203592005906311,0.0024875165943541197,U.S.,12570.0,1.3,46.97,97700,0.7,24.64,30.99,41.41,57.54,77.12,51260,64470,86130,119690,160420,,,0.10231307692307692,0.0,0.0,3.55,,,100.0,,
Review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,review material such as marketing literature or user manual to ensure that regulatory agency requirement be meet,0.0024755377780094,11-9199,Regulatory Affairs Managers,18038.0,Core,33.0,06/2009,Occupational Expert,11,Management Occupations,1.0,1.0,0.00203592005906311,0.0024875165943541197,U.S.,630980.0,0.5,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,,0.24296,0.0,0.0,3.95,,,100.0,,
Establish procedures or systems for publishing document submissions either in hardcopy or electronic formats.,establish procedure or system for publish document submission either in hardcopy or electronic format,0.0607158212922307,11-9199,Regulatory Affairs Managers,18043.0,Core,33.0,06/2009,Occupational Expert,11,Management Occupations,1.0,1.0,0.049933618290705875,0.06100961752468541,U.S.,630980.0,0.5,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,,,,,,,,,,
"Provide regulatory guidance to departments or development project teams regarding design, development, evaluation, or marketing of products.",provide regulatory guidance to department or development project team regard design development evaluation or marketing of product,0.012898854738049,11-9199,Regulatory Affairs Managers,18024.0,Core,33.0,06/2009,Occupational Expert,11,Management Occupations,1.0,1.0,0.01060821504459201,0.012961270675845172,U.S.,630980.0,0.5,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,,0.5652630769230769,0.0,0.0,4.3,,,100.0,,
Represent organizations before domestic or international regulatory agencies on major policy matters or decisions regarding company products.,represent organization before domestic or international regulatory agency on major policy matter or decision regard company product,0.0132897291240505,11-9199,Regulatory Affairs Managers,18036.0,Core,33.0,06/2009,Occupational Expert,11,Management Occupations,1.0,1.0,0.010929676106549357,0.013354036453901102,U.S.,630980.0,0.5,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,,0.03996423076923077,0.0,0.0,4.36,,,100.0,,
Monitor emerging trends regarding industry regulations to determine potential impacts on organizational processes.,monitor emerge trend regard industry regulation to determine potential impact on organizational process,0.0063842816380242,11-9199,Regulatory Affairs Managers,18032.0,Core,33.0,06/2009,Occupational Expert,11,Management Occupations,1.0,1.0,0.005250530678636406,0.006415174374913213,U.S.,630980.0,0.5,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,,0.2916542307692308,0.0,0.0,3.41,,,95.65,,
Investigate product complaints and prepare documentation and submissions to appropriate regulatory agencies as necessary.,investigate product complaint and prepare documentation and submission to appropriate regulatory agency as necessary,0.0052116584800198,11-9199,Regulatory Affairs Managers,18029.0,Core,33.0,06/2009,Occupational Expert,11,Management Occupations,1.0,1.0,0.0042861474927644505,0.005236877040745526,U.S.,630980.0,0.5,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,,0.33440153846153853,0.0,0.0,4.47,,,82.61,,
"Maintain current knowledge of relevant regulations, including proposed and final rules.",maintain current knowledge of relevant regulation include propose and final rule,0.0059934072520227,11-9199,Regulatory Affairs Managers,18030.0,Core,33.0,06/2009,Occupational Expert,11,Management Occupations,1.0,1.0,0.004929069616679061,0.006022408596857285,U.S.,630980.0,0.5,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,,0.9626373076923076,0.0,0.0,4.09,,,100.0,,
"Serve as a confidential point of contact for employees to communicate with management, seek clarification on issues or dilemmas, or report irregularities.",serve as a confidential point of contact for employee to communicate with management seek clarification on issue or dilemma or report irregularity,0.0022149548540084,11-9199,Compliance Managers,15637.0,Core,56.0,07/2012,Incumbent,11,Management Occupations,1.0,1.0,0.001821612684424879,0.0022256727423168336,U.S.,630980.0,0.5,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,,2.3191057692307693,1.0386148576923075,4.655545873076923,4.09,3.7581,4.4192,78.36,62.5342,88.7039
Identify compliance issues that require follow-up or investigation.,identify compliance issue that require follow up or investigation,0.0044299097080168,11-9199,Compliance Managers,15650.0,Core,57.0,07/2012,Incumbent,11,Management Occupations,1.0,1.0,0.003643225368849758,0.004451345484633667,U.S.,630980.0,0.5,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,,1.3120603846153847,0.4999106769230769,3.482252953846154,4.41,4.2283,4.5919,95.74,84.9689,98.8955
"Maintain documentation of compliance activities, such as complaints received or investigation outcomes.",maintain documentation of compliance activity such as complaint receive or investigation outcome,0.0022149548540084,11-9199,Compliance Managers,15638.0,Core,57.0,07/2012,Incumbent,11,Management Occupations,1.0,1.0,0.001821612684424879,0.0022256727423168336,U.S.,630980.0,0.5,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,,0.9657538461538462,0.35543007692307693,2.901072396153846,4.24,3.9554,4.526,91.84,71.9616,98.014
