task,task_normalized,pct,occ_group_code,title,task_id,task_type,n_responding,date,domain_source,soc_group_code,soc_title,n_occurrences,n_occurrences_soc,pct_occ_weighted,pct_occ_norm,area_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,freq_mean,freq_lower,freq_upper,importance,importance_lower,importance_upper,relevance,relevance_lower,relevance_upper,imputed
"Analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",analyze information to determine recommend and plan layout include type of computer and peripheral equipment modification,0.426574246589621,17-2061,Computer Hardware Engineers,7395.0,Core,22.0,07/2013,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.3508211722827706,0.4286383857850216,U.S.,75710.0,2.8,75.37,156770.0,1.1,41.07,55.53,74.53,89.12,107.61,85430.0,115500.0,155020.0,185380.0,223820.0,,,0.122,0.0,0.0,2.83,,,86.21,,,False
Confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system.,confer with engineering staff and consult specification to evaluate interface between hardware and software and operational and performance requirement of overall system,0.0122473974280465,17-2061,Computer Hardware Engineers,7399.0,Core,22.0,07/2013,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0100724466079964,0.0123066610457519,U.S.,75710.0,2.8,75.37,156770.0,1.1,41.07,55.53,74.53,89.12,107.61,85430.0,115500.0,155020.0,185380.0,223820.0,,,0.6494419230769231,0.0,0.0,4.14,,,100.0,,,False
"Specify power supply requirements and configuration, drawing on system performance expectations and design specifications.",specify power supply requirement and configuration draw on system performance expectation and design specification,0.0020846633920079,17-2061,Computer Hardware Engineers,7403.0,Core,22.0,07/2013,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0017144589971057,0.0020947508162981,U.S.,75710.0,2.8,75.37,156770.0,1.1,41.07,55.53,74.53,89.12,107.61,85430.0,115500.0,155020.0,185380.0,223820.0,,,0.0688123076923076,0.0,0.0,3.27,,,92.86,,,False
Operate computer-assisted engineering or design software or equipment to perform engineering tasks.,operate computer assist engineering or design software or equipment to perform engineering task,0.0019543719300074,17-2071,Electrical Engineers,1349.0,Core,148.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0016073053097866,0.0019638288902795,U.S.,188790.0,1.4,58.16,120980.0,0.7,35.9,42.11,53.8,68.09,84.36,74670.0,87590.0,111910.0,141630.0,175460.0,,,2.305671923076924,1.1128133384615384,4.551284903846154,3.83,3.2936,4.3727,95.26,83.9607,98.7189,False
"Perform detailed calculations to compute and establish manufacturing, construction, or installation standards or specifications.",perform detailed calculation to compute and establish manufacturing construction or installation standard or specification,0.0082083621060311,17-2071,Electrical Engineers,1351.0,Core,149.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0067506823011039,0.0082480813391741,U.S.,188790.0,1.4,58.16,120980.0,0.7,35.9,42.11,53.8,68.09,84.36,74670.0,87590.0,111910.0,141630.0,175460.0,,,0.4693257692307692,0.2056083884615384,1.295183853846154,3.88,3.5811,4.1804,73.19,54.3312,86.2351,False
"Collect data relating to commercial or residential development, population, or power system interconnection to determine operating efficiency of electrical systems.",collect datum relate to commercial or residential development population or power system interconnection to determine operate efficiency of electrical system,0.011335357194043,17-2071,Electrical Engineers,1364.0,Supplemental,149.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0093223707967626,0.0113902075636214,U.S.,188790.0,1.4,58.16,120980.0,0.7,35.9,42.11,53.8,68.09,84.36,74670.0,87590.0,111910.0,141630.0,175460.0,,,0.3319603846153846,0.0569286961538461,1.0564958115384615,3.69,2.7768,4.5978,25.29,14.5882,40.1541,False
"Develop systems that produce electricity using renewable energy sources, such as wind, solar, or biofuels.",develop system that produce electricity use renewable energy source such as wind solar or biofuel,0.0045602011700173,17-2071,Electrical Engineers,19618.0,Supplemental,147.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0037503790561688,0.0045822674106523,U.S.,188790.0,1.4,58.16,120980.0,0.7,35.9,42.11,53.8,68.09,84.36,74670.0,87590.0,111910.0,141630.0,175460.0,,,0.7719514423076925,,,3.6574999999999998,,,67.72625,,,True
Plan layout of electric power generating plants or distribution lines or stations.,plan layout of electric power generating plant or distribution line or station,0.0020846633920079,17-2071,Electrical Engineers,1360.0,Supplemental,149.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0017144589971057,0.0020947508162981,U.S.,188790.0,1.4,58.16,120980.0,0.7,35.9,42.11,53.8,68.09,84.36,74670.0,87590.0,111910.0,141630.0,175460.0,,,0.7719514423076925,,,3.6574999999999998,,,67.72625,,,True
"Conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems.",conduct field survey or study map graph diagram or other datum to identify and correct power system problem,0.0229312973120871,17-2071,Electrical Engineers,1365.0,Supplemental,149.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0188590489681635,0.0230422589792802,U.S.,188790.0,1.4,58.16,120980.0,0.7,35.9,42.11,53.8,68.09,84.36,74670.0,87590.0,111910.0,141630.0,175460.0,,,0.132815,0.0636979769230769,0.3794982846153846,3.21,2.7365,3.674,38.86,19.3081,62.8007,False
Investigate customer or public complaints to determine the nature and extent of problems.,investigate customer or public complaint to determine the nature and extent of problem,0.0230615887740876,17-2071,Electrical Engineers,20730.0,Supplemental,148.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0189662026554826,0.0231731809052989,U.S.,188790.0,1.4,58.16,120980.0,0.7,35.9,42.11,53.8,68.09,84.36,74670.0,87590.0,111910.0,141630.0,175460.0,,,0.2599484615384615,0.104893123076923,0.644845773076923,3.65,3.2806,4.0202,98.15,92.728,99.5495,False
Integrate electrical systems with renewable energy systems to improve overall efficiency.,integrate electrical system with renewable energy system to improve overall efficiency,0.0228010058500866,17-2071,Electrical Engineers,19619.0,Supplemental,147.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0187518952808444,0.0229113370532616,U.S.,188790.0,1.4,58.16,120980.0,0.7,35.9,42.11,53.8,68.09,84.36,74670.0,87590.0,111910.0,141630.0,175460.0,,,0.219095,0.0368570307692307,0.8043548038461539,3.24,2.1668,4.3093,31.49,14.699,55.0882,False
"Estimate labor, material, or construction costs for budget preparation purposes.",estimate labor material or construction cost for budget preparation purpose,0.0125079803520475,17-2071,Electrical Engineers,20729.0,Core,149.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0102867539826346,0.0125685048977892,U.S.,188790.0,1.4,58.16,120980.0,0.7,35.9,42.11,53.8,68.09,84.36,74670.0,87590.0,111910.0,141630.0,175460.0,,,0.4940253846153846,0.1462531615384615,1.896653726923077,3.57,3.205,3.929,85.57,63.8852,95.2098,False
"Design, implement, maintain, or improve electrical instruments, equipment, facilities, components, products, or systems for commercial, industrial, or domestic purposes.",design implement maintain or improve electrical instrument equipment facility component product or system for commercial industrial or domestic purpose,0.0019543719300074,17-2071,Electrical Engineers,1348.0,Core,148.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0016073053097866,0.0019638288902795,U.S.,188790.0,1.4,58.16,120980.0,0.7,35.9,42.11,53.8,68.09,84.36,74670.0,87590.0,111910.0,141630.0,175460.0,,,1.9627696153846157,0.8177979730769231,4.94811685,4.19,3.9221,4.4658,94.0,82.0633,98.1726,False
"Analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",analyze electronics system requirement capacity cost or customer need to determine project feasibility,0.0205860509960782,17-2072,"Electronics Engineers, Except Computer",20495.0,Core,91.0,07/2014,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0169302825964195,0.0206856643109448,U.S.,93940.0,1.7,63.7,132500.0,0.6,38.17,47.56,61.34,78.85,95.7,79390.0,98920.0,127590.0,164000.0,199060.0,,,0.4094823076923077,0.1696735115384615,1.3362738576923077,3.36,3.1258,3.5912,84.88,79.1636,89.247,False
"Confer with engineers, customers, vendors, or others to discuss existing or potential electronics engineering projects or products.",confer with engineer customer vendor or other to discuss exist or potential electronic engineering project or product,0.0023452463160089,17-2072,"Electronics Engineers, Except Computer",20496.0,Core,90.0,07/2014,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0019287663717439,0.0023565946683354,U.S.,93940.0,1.7,63.7,132500.0,0.6,38.17,47.56,61.34,78.85,95.7,79390.0,98920.0,127590.0,164000.0,199060.0,,,1.3316896153846154,0.4763935615384616,4.259639646153847,3.73,3.366,4.0972,96.62,81.398,99.4685,False
"Prepare necessary criteria, procedures, reports, or plans for successful conduct of the project with consideration given to site preparation, facility validation, installation, quality assurance, or testing.",prepare necessary criterion procedure report or plan for successful conduct of the project with consideration give to site preparation facility validation installation quality assurance or testing,0.012377688890047,17-2072,"Electronics Engineers, Except Computer",5355.0,Core,91.0,07/2014,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0101796002953155,0.0124375829717705,U.S.,93940.0,1.7,63.7,132500.0,0.6,38.17,47.56,61.34,78.85,95.7,79390.0,98920.0,127590.0,164000.0,199060.0,,,0.5262800000000001,0.2034673307692308,1.3690121884615385,3.5,3.3199,3.6857,66.81,43.2,84.1928,False
"Design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications.",design electronic component software product or system for commercial industrial medical military or scientific application,0.0233221716980886,17-2072,"Electronics Engineers, Except Computer",5339.0,Supplemental,90.0,07/2014,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0191805100301209,0.0234350247573362,U.S.,93940.0,1.7,63.7,132500.0,0.6,38.17,47.56,61.34,78.85,95.7,79390.0,98920.0,127590.0,164000.0,199060.0,,,1.2151973076923075,0.5463538692307692,3.1311839538461537,4.07,3.5796,4.5597,83.09,59.4043,94.2879,False
Provide technical support or instruction to staff or customers regarding electronics equipment standards.,provide technical support or instruction to staff or customer regard electronics equipment standard,0.0040390353220153,17-2072,"Electronics Engineers, Except Computer",20499.0,Supplemental,91.0,07/2014,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0033217643068924,0.0040585797065777,U.S.,93940.0,1.7,63.7,132500.0,0.6,38.17,47.56,61.34,78.85,95.7,79390.0,98920.0,127590.0,164000.0,199060.0,,,0.5893176923076924,0.2410176653846154,1.4289087384615384,3.69,3.3671,4.016,78.84,41.6863,95.1006,False
"Prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts.",prepare review or maintain maintenance schedule design documentation or operational report or chart,0.0061236987140232,17-2072,"Electronics Engineers, Except Computer",5354.0,Supplemental,91.0,07/2014,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0050362233039981,0.0061533305228759,U.S.,93940.0,1.7,63.7,132500.0,0.6,38.17,47.56,61.34,78.85,95.7,79390.0,98920.0,127590.0,164000.0,199060.0,,,0.6544780769230769,0.2047103,3.148445346153846,3.26,2.96,3.5698,86.03,63.2474,95.6576,False
"Prepare budget or cost estimates for equipment, construction, or installation projects or control expenditures.",prepare budget or cost estimate for equipment construction or installation project or control expenditure,0.0029967036260113,17-2072,"Electronics Engineers, Except Computer",20500.0,Supplemental,91.0,07/2014,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0024645348083394,0.0030112042984285,U.S.,93940.0,1.7,63.7,132500.0,0.6,38.17,47.56,61.34,78.85,95.7,79390.0,98920.0,127590.0,164000.0,199060.0,,,0.1104946153846153,0.0284065615384615,0.4898961769230769,2.9,2.4566,3.3342,60.01,30.9488,83.4032,False
Define and compare possible radio frequency identification device (RFID) solutions to inform selection for specific projects.,define and compare possible radio frequency identification device rfid solution to inform selection for specific project,0.0042996182460163,17-2072,Radio Frequency Identification Device Specialists,16367.0,Core,73.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0035360716815306,0.004320423558615,U.S.,93940.0,1.7,63.7,132500.0,0.6,38.17,47.56,61.34,78.85,95.7,79390.0,98920.0,127590.0,164000.0,199060.0,,,0.4951476923076923,0.1686367384615384,1.7451996153846157,3.61,3.331,3.8925,85.03,76.8854,90.6535,False
"Collect data about existing client hardware, software, networking, or key business processes to inform implementation of radio frequency identification device (RFID) technology.",collect datum about exist client hardware software networking or key business process to inform implementation of radio frequency identification device rfid technology,0.0054722414040207,17-2072,Radio Frequency Identification Device Specialists,16371.0,Core,74.0,07/2015,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0045004548674025,0.0054987208927827,U.S.,93940.0,1.7,63.7,132500.0,0.6,38.17,47.56,61.34,78.85,95.7,79390.0,98920.0,127590.0,164000.0,199060.0,,,0.9621630769230768,0.3591975692307693,2.6010279384615385,3.79,3.5332,4.0446,90.85,80.5587,95.9673,False
"Develop, implement, or manage plans or programs related to conservation or management of natural resources.",develop implement or manage plan or program relate to conservation or management of natural resource,0.0035178694740133,17-2081,Environmental Engineers,1387.0,Supplemental,27.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0028931495576159,0.0035348920025031,U.S.,37950.0,3.2,53.16,110570.0,0.9,31.23,38.71,50.08,62.9,77.84,64950.0,80510.0,104170.0,130830.0,161910.0,,,0.2628865384615384,0.0,0.0,3.45,,,95.24,,,False
Write reports or articles for Web sites or newsletters related to environmental engineering issues.,write report or article for web site or newsletter relate to environmental engineering issue,0.0026058292400099,17-2081,Environmental Engineers,19626.0,Supplemental,27.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0021430737463822,0.0026184385203727,U.S.,37950.0,3.2,53.16,110570.0,0.9,31.23,38.71,50.08,62.9,77.84,64950.0,80510.0,104170.0,130830.0,161910.0,,,0.0382546153846153,0.0,0.0,3.26,,,90.48,,,False
"Provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties.",provide administrative support for project by collect datum provide project documentation training staff or perform other general administrative duty,0.0042996182460163,17-2081,Environmental Engineers,1372.0,Core,27.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0035360716815306,0.004320423558615,U.S.,37950.0,3.2,53.16,110570.0,0.9,31.23,38.71,50.08,62.9,77.84,64950.0,80510.0,104170.0,130830.0,161910.0,,,0.3876084615384615,0.0,0.0,3.55,,,95.24,,,False
Inspect industrial or municipal facilities or programs to evaluate operational effectiveness or ensure compliance with environmental regulations.,inspect industrial or municipal facility or program to evaluate operational effectiveness or ensure compliance with environmental regulation,0.0019543719300074,17-2081,Environmental Engineers,1371.0,Core,26.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0016073053097866,0.0019638288902795,U.S.,37950.0,3.2,53.16,110570.0,0.9,31.23,38.71,50.08,62.9,77.84,64950.0,80510.0,104170.0,130830.0,161910.0,,,0.2205026923076923,0.0,0.0,3.74,,,95.24,,,False
"Analyze the efficiency of water delivery structures, such as dams, tainter gates, canals, pipes, penstocks, or cofferdams.",analyze the efficiency of water delivery structure such as dams tainter gate canal pipe penstock or cofferdam,0.0040390353220153,17-2081,Water/Wastewater Engineers,16340.0,Core,29.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0033217643068924,0.0040585797065777,U.S.,37950.0,3.2,53.16,110570.0,0.9,31.23,38.71,50.08,62.9,77.84,64950.0,80510.0,104170.0,130830.0,161910.0,,,0.084296923076923,0.0,0.0,3.27,,,68.18,,,False
"Design water run-off collection networks, water supply channels, or water supply system networks.",design water run off collection network water supply channel or water supply system network,0.0059934072520227,17-2081,Water/Wastewater Engineers,16345.0,Core,28.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.004929069616679,0.0060224085968572,U.S.,37950.0,3.2,53.16,110570.0,0.9,31.23,38.71,50.08,62.9,77.84,64950.0,80510.0,104170.0,130830.0,161910.0,,,0.15768782051282046,,,3.5833333333333335,,,74.57000000000001,,,True
"Analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",analyze and recommend chemical biological or other wastewater treatment method to prepare water for industrial or domestic use,0.0062539901760237,17-2081,Water/Wastewater Engineers,16343.0,Core,29.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0051433769913172,0.0062842524488945,U.S.,37950.0,3.2,53.16,110570.0,0.9,31.23,38.71,50.08,62.9,77.84,64950.0,80510.0,104170.0,130830.0,161910.0,,,0.2523757692307692,0.0,0.0,3.89,,,78.26,,,False
"Perform hydraulic analyses of water supply systems or water distribution networks to model flow characteristics, test for pressure losses, or to identify opportunities to mitigate risks and improve operational efficiency.",perform hydraulic analysis of water supply system or water distribution network to model flow characteristic test for pressure loss or to identify opportunity to mitigate risk and improve operational efficiency,0.0024755377780094,17-2081,Water/Wastewater Engineers,16334.0,Core,29.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0020359200590631,0.0024875165943541,U.S.,37950.0,3.2,53.16,110570.0,0.9,31.23,38.71,50.08,62.9,77.84,64950.0,80510.0,104170.0,130830.0,161910.0,,,0.1363907692307692,0.0,0.0,3.59,,,77.27,,,False
"Interpret safety regulations for others interested in industrial safety such as safety engineers, labor representatives, and safety inspectors.",interpret safety regulation for other interested in industrial safety such as safety engineer labor representative and safety inspector,0.0048207840940183,17-2111,Industrial Safety and Health Engineers,5367.0,Core,22.0,06/2010,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0039646864308071,0.0048441112626895,U.S.,23220.0,3.5,54.7,113770.0,1.2,29.83,41.06,52.72,65.46,80.13,62050.0,85400.0,109660.0,136150.0,166670.0,,,1.3769826923076922,0.0,0.0,3.97,,,96.77,,,False
"Prepare and write reports detailing specific fire prevention and protection issues, such as work performed, revised codes or standards, and proposed review schedules.",prepare and write report detail specific fire prevention and protection issue such as work perform revise code or standard and propose review schedule,0.0024755377780094,17-2111,Fire-Prevention and Protection Engineers,20383.0,Core,29.0,07/2013,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0020359200590631,0.0024875165943541,U.S.,23220.0,3.5,54.7,113770.0,1.2,29.83,41.06,52.72,65.46,80.13,62050.0,85400.0,109660.0,136150.0,166670.0,,,2.48,0.0,0.0,4.25,,,100.0,,,False
Evaluate potential health hazards or damage that could occur from product misuse.,evaluate potential health hazard or damage that could occur from product misuse,0.0024755377780094,17-2111,Product Safety Engineers,12924.0,Core,29.0,06/2007,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0020359200590631,0.0024875165943541,U.S.,23220.0,3.5,54.7,113770.0,1.2,29.83,41.06,52.72,65.46,80.13,62050.0,85400.0,109660.0,136150.0,166670.0,,,0.3140157692307692,0.0,0.0,4.22,,,100.0,,,False
Analyze statistical data and product specifications to determine standards and establish quality and reliability objectives of finished product.,analyze statistical datum and product specification to determine standard and establish quality and reliability objective of finished product,0.0029967036260113,17-2112,Industrial Engineers,1391.0,Supplemental,98.0,06/2010,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0024645348083394,0.0030112042984285,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.9223326923076924,0.39359075,2.3855186615384616,3.8,3.5937,3.9979,83.98,72.1974,91.3711,False
"Review production schedules, engineering specifications, orders, and related information to obtain knowledge of manufacturing methods, procedures, and activities.",review production schedule engineering specification order and relate information to obtain knowledge of manufacturing method procedure and activity,0.0056025328660212,17-2112,Industrial Engineers,1399.0,Core,97.0,06/2010,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0046076085547217,0.0056296428188013,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.5946161538461538,0.3191531884615385,1.126750719230769,3.47,3.2505,3.6818,88.61,81.8273,93.0808,False
"Apply statistical methods and perform mathematical calculations to determine manufacturing processes, staff requirements, and production standards.",apply statistical method and perform mathematical calculation to determine manufacturing process staff requirement and production standard,0.0020846633920079,17-2112,Industrial Engineers,1395.0,Core,98.0,06/2010,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0017144589971057,0.0020947508162981,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.5055673076923077,0.2052486153846154,1.6298039307692307,3.37,3.1,3.637,68.9,56.0047,79.4052,False
Communicate with management and user personnel to develop production and design standards.,Communicate with management and user personnel to develop production and design standard,0.0033875780120128,17-2112,Industrial Engineers,1400.0,Core,98.0,06/2010,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0027859958702968,0.0034039700764845,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,1.070238846153846,0.3961965,2.94301165,3.71,3.5035,3.9077,93.98,86.5546,97.4233,False
"Estimate production costs, cost saving methods, and the effects of product design changes on expenditures for management review, action, and control.",estimate production cost cost saving method and the effect of product design change on expenditure for management review action and control,0.0023452463160089,17-2112,Industrial Engineers,18607.0,Core,98.0,06/2010,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0019287663717439,0.0023565946683354,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.8274507692307693,0.36524335,2.2325959692307693,3.97,3.7341,4.2037,84.76,70.9139,92.6911,False
"Confer with clients, vendors, staff, and management personnel regarding purchases, product and production specifications, manufacturing capabilities, or project status.",confer with client vendor staff and management personnel regard purchase product and production specification manufacturing capability or project status,0.0020846633920079,17-2112,Industrial Engineers,18609.0,Core,98.0,06/2010,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0017144589971057,0.0020947508162981,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.8989942307692307,0.3666597576923077,2.7967408846153847,3.78,3.5515,4.0161,96.2,86.1554,99.0387,False
"Recommend methods for improving utilization of personnel, material, and utilities.",recommend method for improve utilization of personnel material and utility,0.0056025328660212,17-2112,Industrial Engineers,1393.0,Core,98.0,06/2010,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0046076085547217,0.0056296428188013,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,1.3616715384615383,0.6438547307692307,2.767654584615385,3.67,3.4229,3.9156,90.03,81.4598,94.886,False
"Study operations sequence, material flow, functional statements, organization charts, and project information to determine worker functions and responsibilities.",study operation sequence material flow functional statement organization chart and project information to determine worker function and responsibility,0.0037784523980143,17-2112,Industrial Engineers,1404.0,Core,98.0,06/2010,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0031074569322541,0.0037967358545404,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.3149561538461538,0.1620883,0.6716017115384616,3.28,3.0068,3.5543,70.66,59.476,79.7985,False
"Coordinate and implement quality control objectives, activities, or procedures to resolve production problems, maximize product reliability, or minimize costs.",coordinate and implement quality control objective activity or procedure to resolve production problem maximize product reliability or minimize cost,0.0020846633920079,17-2112,Industrial Engineers,18608.0,Core,98.0,06/2010,Incumbent,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0017144589971057,0.0020947508162981,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.46684,0.1459191538461538,2.071770138461538,3.42,3.1243,3.7229,80.81,69.3919,88.6682,False
"Operate testing equipment, such as heat stress meters, octave band analyzers, motion analysis equipment, inclinometers, light meters, velometers, sling psychrometers, or colormetric detection tubes.",operate testing equipment such as heat stress meter octave band analyzer motion analysis equipment inclinometer light meter velometer sle psychrometer or colormetric detection tube,0.0225404229260856,17-2112,Human Factors Engineers and Ergonomists,16384.0,Core,24.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0185375879062062,0.0226494932012243,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.18749708791208788,,,3.6,,,81.42857142857143,,,True
"Investigate theoretical or conceptual issues, such as the human design considerations of lunar landers or habitats.",investigate theoretical or conceptual issue such as the human design consideration of lunar lander or habitat,0.1120506573204258,17-2112,Human Factors Engineers and Ergonomists,16376.0,Core,24.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0921521710944357,0.1125928563760289,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.1247273076923076,0.0,0.0,3.44,,,80.0,,,False
Provide human factors technical expertise on topics such as advanced user-interface technology development or the role of human users in automated or autonomous sub-systems in advanced vehicle systems.,provide human factor technical expertise on topic such as advanced user interface technology development or the role of human user in automated or autonomous sub system in advanced vehicle system,0.0023452463160089,17-2112,Human Factors Engineers and Ergonomists,16375.0,Core,24.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0019287663717439,0.0023565946683354,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.3829326923076923,0.0,0.0,3.88,,,80.0,,,False
"Analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",analyze complex system to determine potential for further development production interoperability compatibility or usefulness in a particular area such as aviation,0.0312699508801188,17-2112,Human Factors Engineers and Ergonomists,16395.0,Core,24.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0257168849565867,0.0314212622444731,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.1262138461538461,0.0,0.0,3.53,,,85.0,,,False
Establish system operating or training requirements to ensure optimized human-machine interfaces.,establish system operate or training requirement to ensure optimize human machine interface,0.0067751560240257,17-2112,Human Factors Engineers and Ergonomists,16386.0,Core,24.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0055719917405937,0.0068079401529691,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.25233,0.0,0.0,4.2,,,75.0,,,False
"Apply modeling or quantitative analysis to forecast events, such as human decisions or behaviors, the structure or processes of organizations, or the attitudes or actions of human groups.",apply modeling or quantitative analysis to forecast event such as human decision or behavior the structure or process of organization or the attitude or action of human group,0.0136806035100519,17-2112,Human Factors Engineers and Ergonomists,16394.0,Core,24.0,07/2012,Occupational Expert,17.0,Architecture and Engineering Occupations,1.0,1.0,0.0112511371685066,0.0137468022319569,U.S.,350230.0,0.6,51.87,107900.0,0.3,33.66,39.38,48.63,61.29,75.55,70000.0,81910.0,101140.0,127480.0,157140.0,,,0.1312588461538461,0.0,0.0,3.2,,,75.0,,,False
