gwa_title,iwa_title,dwa_title,task
Processing Information,Evaluate the quality or accuracy of data.,Evaluate data quality.,"Process clinical data, including receipt, entry, verification, or filing of information."
Working with Computers,Process digital or online data.,Prepare data for analysis.,"Process clinical data, including receipt, entry, verification, or filing of information."
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop procedures for data management.,"Develop project-specific data management plans that address areas such as coding, reporting, or transfer of data, database locks, and work flow processes."
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop procedures for data entry or processing.,"Design forms for receiving, processing, or tracking data."
Thinking Creatively,Design computer or information systems or applications.,Develop computer or online applications.,"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation."
Getting Information,Gather information from physical or electronic sources.,"Search files, databases or reference materials to obtain needed information.","Enter or retrieve information from structural databases, protein sequence motif databases, mutation databases, genomic databases or gene expression databases."
Working with Computers,Process digital or online data.,Enter information into databases or software programs.,"Enter or retrieve information from structural databases, protein sequence motif databases, mutation databases, genomic databases or gene expression databases."
"Judging the Qualities of Objects, Services, or People","Evaluate the characteristics, usefulness, or performance of products or technologies.",Assess database performance.,"Monitor database performance and perform any necessary maintenance, upgrades, or repairs."
Repairing and Maintaining Mechanical Equipment,"Maintain electronic, computer, or other technical equipment.",Maintain computer equipment or software.,"Monitor database performance and perform any necessary maintenance, upgrades, or repairs."
Analyzing Data or Information,Analyze data to improve operations.,Analyze operational or research data.,"Analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with coworkers to coordinate work activities.,"Confer with researchers, clinicians, or information technology staff to determine data needs and programming requirements and to provide assistance with database-related research activities."
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop data analysis or data management procedures.,Create data management or error-checking procedures and user manuals.
Thinking Creatively,Design computer or information systems or applications.,Develop computer or online applications.,Design or implement web-based tools for querying large-scale biological databases.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop data analysis or data management procedures.,Develop or apply data mining and machine learning algorithms.
Documenting/Recording Information,Maintain operational records.,Maintain operational records.,"Document all database changes, modifications, or problems."
Thinking Creatively,Design computer or information systems or applications.,Develop computer or online applications.,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve."
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain current knowledge related to work activities.,Maintain awareness of new and emerging computational methods and technologies.
Documenting/Recording Information,Present research or technical information.,Prepare research or technical reports.,Participate in the preparation of reports or scientific publications.
Thinking Creatively,Design computer or information systems or applications.,Develop computer or online applications.,Test new or updated software or tools and provide feedback to developers.
Training and Teaching Others,Train others on operational or work procedures.,Train personnel.,Train bioinformatics staff or researchers in the use of databases.
Thinking Creatively,Design computer or information systems or applications.,Develop computer or online applications.,Write computer programs or scripts to be used in querying databases.
Analyzing Data or Information,Analyze data to improve operations.,Analyze operational or research data.,Conduct quality analyses of data inputs and resulting analyses or predictions.
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with organizational members to accomplish work activities.,Confer with database users about project timelines and changes.
Working with Computers,Process digital or online data.,"Format digital documents, data, or images.",Package bioinformatics data for submission to public repositories.
Working with Computers,Implement security measures for computer or information systems.,Create electronic data backup to prevent loss of information.,"Perform routine system administrative functions, such as troubleshooting, back-ups, or upgrades."
Working with Computers,Resolve computer problems.,Troubleshoot issues with computer applications or systems.,"Perform routine system administrative functions, such as troubleshooting, back-ups, or upgrades."
Documenting/Recording Information,"Document technical designs, procedures, or activities.",Document technical design details.,"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time."
"Communicating with Supervisors, Peers, or Subordinates",Confer with clients to determine needs or order specifications.,Discuss designs or plans with clients.,Consult with clients to determine functional or spatial requirements of structures.
Documenting/Recording Information,"Prepare documentation for contracts, applications, or permits.","Prepare contracts, disclosures, or applications.",Prepare contract documents for building contractors.
Thinking Creatively,Design structures or facilities.,Design structures or facilities.,Integrate engineering elements into unified architectural designs.
Documenting/Recording Information,"Prepare documentation for contracts, applications, or permits.","Prepare contracts, disclosures, or applications.",Administer construction contracts.
Documenting/Recording Information,"Prepare documentation for contracts, applications, or permits.","Prepare contracts, disclosures, or applications.",Represent clients in obtaining bids or awarding construction contracts.
Documenting/Recording Information,"Document technical designs, procedures, or activities.",Prepare procedural documents.,"Prepare operating and maintenance manuals, studies, or reports."
Analyzing Data or Information,"Evaluate designs, specifications, or other technical data.",Analyze costs and benefits of proposed designs or projects.,Calculate potential energy savings by comparing estimated energy consumption of proposed design to baseline standards.
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Design water conservation systems.,"Design environmentally sound structural upgrades to existing buildings, such as natural lighting systems, green roofs, or rainwater collection systems."
Thinking Creatively,Design structures or facilities.,Incorporate green features into the design of structures or facilities.,Design or plan construction of green building projects to minimize adverse environmental impact or conserve energy.
Thinking Creatively,Design structures or facilities.,Incorporate green features into the design of structures or facilities.,"Design structures that incorporate environmentally friendly building practices or concepts, such as Leadership in Energy and Environmental Design (LEED) standards."
Getting Information,Investigate the environmental impact of industrial or development activities.,Investigate the environmental impact of projects.,Gather information related to projects' environmental sustainability or operational efficiency.
Getting Information,Investigate the environmental impact of industrial or development activities.,Investigate the environmental impact of projects.,"Perform predesign services, such as feasibility or environmental impact studies."
Thinking Creatively,Design structures or facilities.,Incorporate green features into the design of structures or facilities.,"Plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations."
Thinking Creatively,Create visual designs or displays.,Create graphical representations of structures or landscapes.,"Prepare scale drawings or architectural designs, using computer-aided design or other tools."
"Guiding, Directing, and Motivating Subordinates",Direct scientific or technical activities.,Direct design or development activities.,Direct activities of technicians engaged in preparing drawings or specification documents.
"Communicating with Supervisors, Peers, or Subordinates",Confer with clients to determine needs or order specifications.,Discuss designs or plans with clients.,Meet with clients to review or discuss architectural drawings.
Selling or Influencing Others,"Promote products, services, or programs.",Perform marketing activities.,"Develop marketing materials, proposals, or presentations to generate new work opportunities."
Thinking Creatively,Create visual designs or displays.,Create graphical representations of structures or landscapes.,Develop final construction plans that include aesthetic representations of the structure or details for its construction.
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Prepare detailed work plans.,Develop final construction plans that include aesthetic representations of the structure or details for its construction.
"Inspecting Equipment, Structures, or Materials",Inspect facilities or equipment.,Inspect facilities or sites to determine if they meet specifications or standards.,Conduct periodic on-site observations of construction work to monitor compliance with plans.
"Guiding, Directing, and Motivating Subordinates",Supervise personnel activities.,Supervise engineering or other technical personnel.,"Monitor the work of specialists, such as electrical engineers, mechanical engineers, interior designers, or sound specialists to ensure optimal form or function of designs or final structures."
Thinking Creatively,Design structures or facilities.,Design structures or facilities.,Plan layouts of structural architectural projects.
"Inspecting Equipment, Structures, or Materials",Inspect facilities or equipment.,Inspect facilities or sites to determine if they meet specifications or standards.,Inspect proposed building sites to determine suitability for construction.
Thinking Creatively,Create visual designs or displays.,Create graphical representations of structures or landscapes.,"Create three-dimensional or interactive representations of designs, using computer-assisted design software."
Thinking Creatively,Create visual designs or displays.,Create graphical representations of structures or landscapes.,Prepare graphic representations or drawings of proposed plans or designs.
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about specifications or project details.,Confer with technical personnel to prepare designs or operational plans.,Collaborate with architects or related professionals on whole building design to maximize the aesthetic features of structures or surrounding land and to improve energy efficiency.
Thinking Creatively,Design structures or facilities.,Incorporate green features into the design of structures or facilities.,Create landscapes that minimize water consumption such as by incorporating drought-resistant grasses or indigenous plants.
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Design water conservation systems.,Design and integrate rainwater harvesting or gray and reclaimed water systems to conserve water into building or land designs.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select project materials.,"Identify and select appropriate sustainable materials for use in landscape designs, such as recycled wood or recycled concrete boards for structural elements or recycled tires for playground bedding."
Thinking Creatively,Design structures or facilities.,Incorporate green features into the design of structures or facilities.,"Identify and select appropriate sustainable materials for use in landscape designs, such as recycled wood or recycled concrete boards for structural elements or recycled tires for playground bedding."
"Communicating with Supervisors, Peers, or Subordinates",Confer with clients to determine needs or order specifications.,Discuss designs or plans with clients.,"Confer with clients, engineering personnel, or architects on landscape projects."
Thinking Creatively,Create visual designs or displays.,Create maps.,"Prepare site plans, specifications, or cost estimates for land development."
Analyzing Data or Information,Analyze environmental or geospatial data.,"Analyze physical, survey, or geographic data.","Analyze data on conditions such as site location, drainage, or structure location for environmental reports or landscaping plans."
"Inspecting Equipment, Structures, or Materials",Inspect facilities or equipment.,Inspect facilities or sites to determine if they meet specifications or standards.,"Inspect landscape work to ensure compliance with specifications, evaluate quality of materials or work, or advise clients or construction personnel."
Communicating with People Outside the Organization,Provide information or assistance to the public.,Explain project details to the general public.,"Present project plans or designs to public stakeholders, such as government agencies or community groups."
Thinking Creatively,Design structures or facilities.,Incorporate green features into the design of structures or facilities.,Integrate existing land features or landscaping into designs.
"Guiding, Directing, and Motivating Subordinates",Supervise personnel activities.,Supervise engineering or other technical personnel.,Manage the work of subcontractors to ensure quality control.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Update technical knowledge.,"Research latest products, technology, or design trends to stay current in the field."
"Inspecting Equipment, Structures, or Materials",Inspect facilities or equipment.,Inspect facilities or sites to determine if they meet specifications or standards.,"Inspect proposed sites to identify structural elements of land areas or other important site information, such as soil condition, existing landscaping, or the proximity of water management facilities."
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Prepare detailed work plans.,Develop planting plans to help clients garden productively or to achieve particular aesthetic effects.
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about specifications or project details.,Confer with technical personnel to prepare designs or operational plans.,"Collaborate with estimators to cost projects, create project plans, or coordinate bids from landscaping contractors."
Thinking Creatively,Create visual designs or displays.,Create graphical representations of structures or landscapes.,"Prepare conceptual drawings, graphics, or other visual representations of land areas to show predicted growth or development of land areas over time."
Providing Consultation and Advice to Others,Advise others on products or services.,Advise customers on the use of products or services.,Provide follow-up consultations for clients to ensure landscape designs are maturing or developing as planned.
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Calculate geographic positions from survey data.,"Identify, scale, and orient geodetic points, elevations, and other planimetric or topographic features, applying standard mathematical formulas."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Survey land or bodies of water to measure or determine features.,"Collect information about specific features of the Earth, using aerial photography and other digital remote sensing techniques."
Thinking Creatively,Create visual designs or displays.,Create maps.,"Revise existing maps and charts, making all necessary corrections and adjustments."
Getting Information,Gather data about operational or development activities.,Gather physical survey data.,"Compile data required for map preparation, including aerial photographs, survey notes, records, reports, and original maps."
"Inspecting Equipment, Structures, or Materials",Inspect completed work or finished products.,Inspect finished products to locate flaws.,Inspect final compositions to ensure completeness and accuracy.
Thinking Creatively,Create visual designs or displays.,Create maps.,"Determine map content and layout, as well as production specifications such as scale, size, projection, and colors, and direct production to ensure that specifications are followed."
Analyzing Data or Information,Analyze environmental or geospatial data.,"Analyze physical, survey, or geographic data.","Examine and analyze data from ground surveys, reports, aerial photographs, and satellite images to prepare topographic maps, aerial-photograph mosaics, and related charts."
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine operational methods.,Select aerial photographic and remote sensing techniques and plotting equipment needed to meet required standards of accuracy.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,"Select tools, equipment, or technologies for use in operations or projects.",Select aerial photographic and remote sensing techniques and plotting equipment needed to meet required standards of accuracy.
Thinking Creatively,Create visual designs or displays.,Create maps.,"Delineate aerial photographic detail, such as control points, hydrography, topography, and cultural features, using precision stereoplotting apparatus or drafting instruments."
Working with Computers,Operate computer systems or computerized equipment.,Operate computer systems.,Build and update digital databases.
Thinking Creatively,Create visual designs or displays.,Create maps.,"Prepare and alter trace maps, charts, tables, detailed drawings, and three-dimensional optical models of terrain using stereoscopic plotting and computer graphics equipment."
Thinking Creatively,Develop technical specifications for products or operations.,Determine design criteria or specifications.,Determine guidelines that specify which source material is acceptable for use.
Getting Information,Gather data about operational or development activities.,Gather physical survey data.,"Study legal records to establish boundaries of local, national, and international properties."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Survey land or bodies of water to measure or determine features.,"Travel over photographed areas to observe, identify, record, and verify all relevant features."
Communicating with People Outside the Organization,Present information in legal proceedings.,Testify at legal or legislative proceedings.,"Testify as an expert witness in court cases on land survey issues, such as property boundaries."
Thinking Creatively,Create visual designs or displays.,Create maps.,"Prepare and maintain sketches, maps, reports, and legal descriptions of surveys to describe, certify, and assume liability for work performed."
Processing Information,Evaluate the quality or accuracy of data.,Verify mathematical calculations.,"Verify the accuracy of survey data, including measurements and calculations conducted at survey sites."
"Guiding, Directing, and Motivating Subordinates",Direct scientific or technical activities.,Direct surveying activities.,"Direct or conduct surveys to establish legal boundaries for properties, based on legal deeds and titles."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Survey land or bodies of water to measure or determine features.,"Record the results of surveys, including the shape, contour, location, elevation, and dimensions of land or land features."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Calculate geographic positions from survey data.,"Calculate heights, depths, relative positions, property lines, and other characteristics of terrain."
Documenting/Recording Information,"Document technical designs, procedures, or activities.",Document technical design details.,"Prepare, or supervise preparation of, all data, charts, plots, maps, records, and documents related to surveys."
Documenting/Recording Information,"Document technical designs, procedures, or activities.",Document technical design details.,"Write descriptions of property boundary surveys for use in deeds, leases, or other legal documents."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Survey land or bodies of water to measure or determine features.,"Plan and conduct ground surveys designed to establish baselines, elevations, and other geodetic measurements."
Getting Information,Gather data about operational or development activities.,Gather physical survey data.,"Search legal records, survey records, and land titles to obtain information about property boundaries in areas to be surveyed."
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.","Coordinate activities with suppliers, contractors, clients, or other departments.","Coordinate findings with the work of engineering and architectural personnel, clients, and others concerned with projects."
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Calibrate scientific or technical equipment.,Adjust surveying instruments to maintain their accuracy.
Thinking Creatively,Create visual designs or displays.,Create maps.,"Establish fixed points for use in making maps, using geodetic and engineering instruments."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Calculate geographic positions from survey data.,"Determine longitudes and latitudes of important features and boundaries in survey areas, using theodolites, transits, levels, and satellite-based global positioning systems (GPS)."
Training and Teaching Others,Train others on operational or work procedures.,Train personnel on proper operational procedures.,"Train assistants and helpers, and direct their work in such activities as performing surveys or drafting maps."
"Guiding, Directing, and Motivating Subordinates",Direct scientific or technical activities.,Direct surveying activities.,"Train assistants and helpers, and direct their work in such activities as performing surveys or drafting maps."
Analyzing Data or Information,Analyze environmental or geospatial data.,"Analyze physical, survey, or geographic data.",Analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation.
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Calculate geographic positions from survey data.,"Compute geodetic measurements and interpret survey data to determine positions, shapes, and elevations of geomorphic and topographic features."
Thinking Creatively,Develop technical specifications for products or operations.,Determine operational criteria or specifications.,Develop criteria for survey methods and procedures.
Thinking Creatively,Develop technical specifications for products or operations.,Determine operational criteria or specifications.,Develop criteria for the design and modification of survey instruments.
Getting Information,Research technology designs or applications.,Conduct research to gain information about products or processes.,"Conduct research in surveying and mapping methods, using knowledge of photogrammetric map compilation and electronic data processing."
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Research topics in area of expertise.,"Conduct research in surveying and mapping methods, using knowledge of photogrammetric map compilation and electronic data processing."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Survey land or bodies of water to measure or determine features.,"Locate and mark sites selected for geophysical prospecting activities, such as efforts to locate petroleum or other mineral products."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Survey land or bodies of water to measure or determine features.,"Survey bodies of water to determine navigable channels and to secure data for construction of breakwaters, piers, and other marine structures."
"Guiding, Directing, and Motivating Subordinates",Direct scientific or technical activities.,Direct surveying activities.,Direct aerial surveys of specified geographical areas.
Thinking Creatively,Develop technical specifications for products or operations.,Determine operational criteria or specifications.,"Determine specifications for equipment to be used for aerial photography, as well as altitudes from which to photograph terrain."
Analyzing Data or Information,"Evaluate designs, specifications, or other technical data.",Evaluate designs or specifications to ensure quality.,"Review existing standards, controls, or equipment used, recommending changes or upgrades as needed."
Training and Teaching Others,Train others on operational or work procedures.,Train personnel on proper operational procedures.,Provide training and interpretation in the use of methods or procedures for observing and checking controls for geodetic and plane coordinates.
"Guiding, Directing, and Motivating Subordinates",Direct scientific or technical activities.,Direct surveying activities.,"Plan or direct the work of geodetic surveying staff, providing technical consultation as needed."
Communicating with People Outside the Organization,Provide information or assistance to the public.,Explain project details to the general public.,Distribute compiled geodetic data to government agencies or the general public.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Update technical knowledge.,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in technology, equipment, or systems."
Processing Information,Evaluate the quality or accuracy of data.,Verify mathematical calculations.,Verify the mathematical correctness of newly collected survey data.
Getting Information,Gather data about operational or development activities.,Gather physical survey data.,Request additional survey data when field collection errors occur or engineering surveying specifications are not maintained.
Documenting/Recording Information,Prepare reports of operational or procedural activities.,Prepare operational reports.,Prepare progress or technical reports.
Documenting/Recording Information,Maintain operational records.,Maintain operational records or records systems.,"Maintain databases of geodetic and related information, including coordinate, descriptive, or quality assurance data."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Calculate geographic positions from survey data.,"Compute, retrace, or adjust existing surveys of features such as highway alignments, property boundaries, utilities, control and other surveys to match the ground elevation-dependent grids, geodetic grids, or property boundaries and to ensure accuracy and continuity of data used in engineering, surveying, or construction projects."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Calculate geographic positions from survey data.,"Compute horizontal and vertical coordinates of control networks, using direct leveling or other geodetic survey techniques, such as triangulation, trilateration, and traversing, to establish features of the Earth's surface."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Calculate geographic positions from survey data.,Calculate the exact horizontal and vertical position of points on the Earth's surface.
Analyzing Data or Information,Analyze data to improve operations.,"Analyze operational data to evaluate operations, processes or products.",Analyze control or survey data to ensure adherence to project specifications or land survey standards.
Analyzing Data or Information,Analyze environmental or geospatial data.,"Analyze physical, survey, or geographic data.","Assess the quality of control data to determine the need for additional survey data for engineering, construction, or other projects."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Survey land or bodies of water to measure or determine features.,"Determine orientation of tracts of land, including position, boundaries, size, and shape, using theodolites, electronic distance-measuring equipment, satellite-based positioning equipment, land information systems, or other geodetic survey equipment."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Assess characteristics of land or property.,Survey land or bodies of water to measure or determine features.,"Conduct surveys to determine exact positions, measurement of points, elevations, lines, areas, volumes, contours, or other features of land surfaces."
"Guiding, Directing, and Motivating Subordinates",Direct scientific or technical activities.,Direct design or development activities.,"Direct or coordinate activities of engineering or technical personnel involved in designing, fabricating, modifying, or testing of aircraft or aerospace products."
"Inspecting Equipment, Structures, or Materials",Test performance of equipment or systems.,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.","Plan or conduct experimental, environmental, operational, or stress tests on models or prototypes of aircraft or aerospace systems or equipment."
Thinking Creatively,"Develop models of systems, processes, or products.",Create models of engineering designs or methods.,"Formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design, according to customer engineering requirements."
Documenting/Recording Information,"Document technical designs, procedures, or activities.",Prepare procedural documents.,"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers."
Analyzing Data or Information,"Evaluate designs, specifications, or other technical data.",Analyze design or requirements information for mechanical equipment or systems.,"Analyze project requests, proposals, or engineering data to determine feasibility, productibility, cost, or production time of aerospace or aeronautical products."
Getting Information,Gather data about operational or development activities.,Gather organizational performance information.,Evaluate and approve selection of vendors by studying past performance or new advertisements.
Making Decisions and Solving Problems,Authorize business activities or transactions.,Approve expenditures.,Evaluate and approve selection of vendors by studying past performance or new advertisements.
"Guiding, Directing, and Motivating Subordinates",Manage control systems or activities.,Direct quality control activities.,Plan or coordinate investigation and resolution of customers' reports of technical problems with aircraft or aerospace vehicles.
Documenting/Recording Information,Maintain operational records.,Maintain operational records or records systems.,Maintain records of performance reports for future reference.
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Design systems to reduce harmful emissions.,"Design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions."
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Design systems to reduce harmful emissions.,Design or engineer filtration systems that reduce harmful emissions.
Getting Information,Research technology designs or applications.,Research design or application of green technologies.,Evaluate biofuel performance specifications to determine feasibility for aerospace applications.
Thinking Creatively,Design electrical or electronic systems or equipment.,Design electromechanical equipment or systems.,Formulate conceptual design of aeronautical or aerospace products or systems to meet customer requirements or conform to environmental regulations.
Analyzing Data or Information,"Evaluate designs, specifications, or other technical data.",Evaluate designs or specifications to ensure quality.,"Evaluate product data or design from inspections or reports for conformance to engineering principles, customer requirements, environmental regulations, or quality standards."
Thinking Creatively,Develop technical specifications for products or operations.,Determine design criteria or specifications.,"Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates."
Getting Information,Investigate organizational or operational problems.,"Investigate system, equipment, or product failures.",Diagnose performance problems by reviewing reports or documentation from customers or field engineers or by inspecting malfunctioning or damaged products.
"Inspecting Equipment, Structures, or Materials","Inspect commercial, industrial, or production systems or equipment.",Inspect equipment or systems.,Diagnose performance problems by reviewing reports or documentation from customers or field engineers or by inspecting malfunctioning or damaged products.
"Guiding, Directing, and Motivating Subordinates",Direct scientific or technical activities.,Direct design or development activities.,Direct aerospace research and development programs.
Getting Information,Investigate the environmental impact of industrial or development activities.,Investigate the environmental impact of projects.,"Visit sites to observe environmental problems, to consult with contractors, or to monitor construction activities."
"Communicating with Supervisors, Peers, or Subordinates",Coordinate with others to resolve problems.,Confer with other personnel to resolve design or operational problems.,"Visit sites to observe environmental problems, to consult with contractors, or to monitor construction activities."
Thinking Creatively,Create visual designs or displays.,Create graphical representations of mechanical equipment.,"Design agricultural machinery components and equipment, using computer-aided design (CAD) technology."
"Inspecting Equipment, Structures, or Materials",Test performance of equipment or systems.,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",Test agricultural machinery and equipment to ensure adequate performance.
Thinking Creatively,Design structures or facilities.,Design structures or facilities.,"Design structures for crop storage, animal shelter and loading, and animal and crop processing, and supervise their construction."
"Guiding, Directing, and Motivating Subordinates",Direct construction or extraction activities.,Direct construction activities.,"Design structures for crop storage, animal shelter and loading, and animal and crop processing, and supervise their construction."
Providing Consultation and Advice to Others,Advise others on environmental sustainability or green practices.,Advise others regarding green practices or environmental concerns.,"Provide advice on water quality and issues related to pollution management, river control, and ground and surface water resources."
Training and Teaching Others,Train others on operational or work procedures.,Train personnel on proper operational procedures.,Conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.","Communicate technical information to suppliers, contractors, or regulatory agencies.","Discuss plans with clients, contractors, consultants, and other engineers so that they can be evaluated and necessary changes made."
"Communicating with Supervisors, Peers, or Subordinates",Confer with clients to determine needs or order specifications.,Discuss designs or plans with clients.,"Discuss plans with clients, contractors, consultants, and other engineers so that they can be evaluated and necessary changes made."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.",Direct industrial production activities.,Supervise food processing or manufacturing plant operations.
Thinking Creatively,Develop sustainable organizational or business policies or practices.,Develop operational methods or processes that use green materials or emphasize sustainability.,Design and supervise environmental and land reclamation projects in agriculture and related industries.
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.",Direct environmental development activities.,Design and supervise environmental and land reclamation projects in agriculture and related industries.
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Prepare detailed work plans.,"Plan and direct construction of rural electric-power distribution systems, and irrigation, drainage, and flood control systems for soil and water conservation."
Thinking Creatively,Design industrial systems or equipment.,Design industrial processing systems.,Design food processing plants and related mechanical systems.
Thinking Creatively,Create visual designs or displays.,Create graphical representations of mechanical equipment.,"Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems."
Documenting/Recording Information,Prepare proposals or grant applications.,Prepare proposal documents.,"Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems."
Documenting/Recording Information,"Document technical designs, procedures, or activities.",Document technical design details.,"Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems."
"Communicating with Supervisors, Peers, or Subordinates",Confer with clients to determine needs or order specifications.,Discuss designs or plans with clients.,"Meet with clients, such as district or regional councils, farmers, and developers, to discuss their needs."
Thinking Creatively,Design electrical or electronic systems or equipment.,Design electronic or computer equipment or instrumentation.,"Design sensing, measuring, and recording devices, and other instrumentation used to study plant or animal life."
Training and Teaching Others,Train others on operational or work procedures.,Train personnel on proper operational procedures.,Conduct training or in-services to educate clinicians and other personnel on proper use of equipment.
Documenting/Recording Information,"Document technical designs, procedures, or activities.",Prepare procedural documents.,"Write documents describing protocols, policies, standards for use, maintenance, and repair of medical equipment."
Providing Consultation and Advice to Others,Advise others on business or operational matters.,"Recommend technical design or process changes to improve efficiency, quality, or performance.","Advise manufacturing staff regarding problems with fermentation, filtration, or other bioproduction processes."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about specifications or project details.,Confer with technical personnel to prepare designs or operational plans.,"Collaborate with manufacturing or quality assurance staff to prepare product specification or safety sheets, standard operating procedures, user manuals, or qualification and validation reports."
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.","Communicate technical information to suppliers, contractors, or regulatory agencies.",Communicate with bioregulatory authorities regarding licensing or compliance responsibilities.
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.","Communicate technical information to suppliers, contractors, or regulatory agencies.","Communicate with suppliers regarding the design or specifications of bioproduction equipment, instrumentation, or materials."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about specifications or project details.,Confer with technical personnel to prepare designs or operational plans.,Confer with research and biomanufacturing personnel to ensure the compatibility of design and production.
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about specifications or project details.,Confer with technical personnel to prepare designs or operational plans.,Consult with chemists or biologists to develop or evaluate novel technologies.
Thinking Creatively,Design materials or devices.,Design medical devices or appliances.,"Design and deliver technology, such as prosthetic devices, to assist people with disabilities."
Getting Information,Research technology designs or applications.,Research engineering aspects of biological or chemical processes.,"Design or conduct follow-up experimentation, based on generated data, to meet established process objectives."
Thinking Creatively,Design materials or devices.,Design medical devices or appliances.,"Design or develop medical diagnostic or clinical instrumentation, equipment, or procedures, using the principles of engineering and biobehavioral sciences."
Thinking Creatively,Develop research plans or methodologies.,Devise research or testing protocols.,Design or direct bench or pilot production experiments to determine the scale of production methods that optimize product yield and minimize production costs.
Thinking Creatively,Develop sustainable organizational or business policies or practices.,Develop operational methods or processes that use green materials or emphasize sustainability.,"Develop bioremediation processes to reduce pollution, protect the environment, or treat waste products."
