task,task_normalized,soc_code_2019,title,freq_mean,importance,relevance,soc_code_2019_untrimmed,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category
Crossbreed animals with existing strains or cross strains to obtain new combinations of desirable characteristics.,crossbreed animals with existing strains or cross strains to obtain new combinations of desirable characteristics,19-1011,Animal Scientists,0.2392973076923077,2.86,60.87,19-1011.00,2470.0,27.0,19,"Life, Physical, and Social Science Occupations"
"Determine genetic composition of animal populations and heritability of traits, using principles of genetics.",determine genetic composition of animal populations and heritability of traits using principles of genetics,19-1011,Animal Scientists,0.1511403846153846,3.21,60.87,19-1011.00,2470.0,27.0,19,"Life, Physical, and Social Science Occupations"
Research and control animal selection and breeding practices to increase production efficiency and improve animal quality.,research and control animal selection and breeding practices to increase production efficiency and improve animal quality,19-1011,Animal Scientists,0.6002403846153846,3.67,69.57,19-1011.00,2470.0,27.0,19,"Life, Physical, and Social Science Occupations"
Study nutritional requirements of animals and nutritive values of animal feed materials.,study nutritional requirements of animals and nutritive values of animal feed materials,19-1011,Animal Scientists,1.8880180769230768,4.57,100.0,19-1011.00,2470.0,27.0,19,"Life, Physical, and Social Science Occupations"
"Study effects of management practices, processing methods, feed, or environmental conditions on quality and quantity of animal products, such as eggs and milk.",study effects of management practices processing methods feed or environmental conditions on quality and quantity of animal products such as eggs and milk,19-1011,Animal Scientists,2.2427284615384613,4.32,100.0,19-1011.00,2470.0,27.0,19,"Life, Physical, and Social Science Occupations"
Advise producers about improved products and techniques that could enhance their animal production efforts.,advise producers about improved products and techniques that could enhance their animal production efforts,19-1011,Animal Scientists,1.3528834615384615,4.36,100.0,19-1011.00,2470.0,27.0,19,"Life, Physical, and Social Science Occupations"
"Conduct research concerning animal nutrition, breeding, or management to improve products or processes.",conduct research concerning animal nutrition breeding or management to improve products or processes,19-1011,Animal Scientists,1.5409873076923075,4.35,100.0,19-1011.00,2470.0,27.0,19,"Life, Physical, and Social Science Occupations"
"Develop improved practices in feeding, housing, sanitation, or parasite and disease control of animals.",develop improved practices in feeding housing sanitation or parasite and disease control of animals,19-1011,Animal Scientists,1.2131826923076925,4.39,100.0,19-1011.00,2470.0,27.0,19,"Life, Physical, and Social Science Occupations"
Demonstrate products to clients.,demonstrate products to clients,19-1012,Food Scientists and Technologists,0.1287015384615384,3.06,73.91,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
Stay up to date on new regulations and current events regarding food science by reviewing scientific literature.,stay up to date on new regulations and current events regarding food science by reviewing scientific literature,19-1012,Food Scientists and Technologists,0.4484823076923077,3.86,100.0,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
"Develop new food items for production, based on consumer feedback.",develop new food items for production based on consumer feedback,19-1012,Food Scientists and Technologists,0.1662938461538461,3.41,73.91,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
"Seek substitutes for harmful or undesirable additives, such as nitrites.",seek substitutes for harmful or undesirable additives such as nitrites,19-1012,Food Scientists and Technologists,0.18419,3.58,82.61,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
"Inspect food processing areas to ensure compliance with government regulations and standards for sanitation, safety, quality, and waste management.",inspect food processing areas to ensure compliance with government regulations and standards for sanitation safety quality and waste management,19-1012,Food Scientists and Technologists,1.6188288461538465,4.47,82.61,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
"Develop food standards and production specifications, safety and sanitary regulations, and waste management and water supply specifications.",develop food standards and production specifications safety and sanitary regulations and waste management and water supply specifications,19-1012,Food Scientists and Technologists,0.1932692307692307,3.55,86.96,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
Evaluate food processing and storage operations and assist in the development of quality assurance programs for such operations.,evaluate food processing and storage operations and assist in the development of quality assurance programs for such operations,19-1012,Food Scientists and Technologists,1.134046923076923,3.86,91.3,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
Study the structure and composition of food or the changes foods undergo in storage and processing.,study the structure and composition of food or the changes foods undergo in storage and processing,19-1012,Food Scientists and Technologists,0.4759865384615384,3.7,91.3,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
"Study methods to improve aspects of foods, such as chemical composition, flavor, color, texture, nutritional value, and convenience.",study methods to improve aspects of foods such as chemical composition flavor color texture nutritional value and convenience,19-1012,Food Scientists and Technologists,0.3013311538461538,3.57,91.3,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
"Confer with process engineers, plant operators, flavor experts, and packaging and marketing specialists to resolve problems in product development.",confer with process engineers plant operators flavor experts and packaging and marketing specialists to resolve problems in product development,19-1012,Food Scientists and Technologists,0.4789796153846154,3.74,82.61,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
"Check raw ingredients for maturity or stability for processing, and finished products for safety, quality, and nutritional value.",check raw ingredients for maturity or stability for processing and finished products for safety quality and nutritional value,19-1012,Food Scientists and Technologists,0.9518376923076922,4.19,95.65,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
"Test new products for flavor, texture, color, nutritional content, and adherence to government and industry standards.",test new products for flavor texture color nutritional content and adherence to government and industry standards,19-1012,Food Scientists and Technologists,0.6743742307692308,3.89,82.61,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
"Develop new or improved ways of preserving, processing, packaging, storing, and delivering foods, using knowledge of chemistry, microbiology, and other sciences.",develop new or improved ways of preserving processing packaging storing and delivering foods using knowledge of chemistry microbiology and other sciences,19-1012,Food Scientists and Technologists,0.4538607692307692,4.14,95.65,19-1012.00,14370.0,130.0,19,"Life, Physical, and Social Science Occupations"
Develop ways of altering soils to suit different types of plants.,develop ways of altering soils to suit different types of plants,19-1013,Soil and Plant Scientists,0.3199519230769231,3.07,76.19,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Study insect distribution or habitat and recommend methods to prevent importation or spread of injurious species.,study insect distribution or habitat and recommend methods to prevent importation or spread of injurious species,19-1013,Soil and Plant Scientists,0.1321557692307692,2.64,52.38,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Identify or classify species of insects or allied forms, such as mites or spiders.",identify or classify species of insects or allied forms such as mites or spiders,19-1013,Soil and Plant Scientists,0.2216346153846153,2.67,42.86,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Conduct experiments regarding causes of bee diseases or factors affecting yields of nectar or pollen.,conduct experiments regarding causes of bee diseases or factors affecting yields of nectar or pollen,19-1013,Soil and Plant Scientists,0.1302884615384615,2.67,42.86,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Conduct research into the use of plant species as green fuels or in the production of green fuels.,conduct research into the use of plant species as green fuels or in the production of green fuels,19-1013,Soil and Plant Scientists,0.1195238461538461,2.33,57.14,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Study ways to improve agricultural sustainability, such as the use of new methods of composting.",study ways to improve agricultural sustainability such as the use of new methods of composting,19-1013,Soil and Plant Scientists,0.9527265384615384,3.44,85.71,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Research technical requirements or environmental impacts of urban green spaces, such as green roof installations.",research technical requirements or environmental impacts of urban green spaces such as green roof installations,19-1013,Soil and Plant Scientists,0.2041223076923077,3.0,61.9,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Plan or supervise waste management programs for composting or farming.,plan or supervise waste management programs for composting or farming,19-1013,Soil and Plant Scientists,0.141496923076923,3.14,66.67,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Plan or supervise land conservation or reclamation programs for industrial development projects.,plan or supervise land conservation or reclamation programs for industrial development projects,19-1013,Soil and Plant Scientists,0.1112107692307692,2.54,61.9,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Conduct experiments to investigate the underlying mechanisms of plant growth and response to the environment.,conduct experiments to investigate the underlying mechanisms of plant growth and response to the environment,19-1013,Soil and Plant Scientists,0.5501923076923076,3.68,95.24,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Consult with engineers or other technical personnel working on construction projects about the effects of soil problems and possible solutions to these problems.,consult with engineers or other technical personnel working on construction projects about the effects of soil problems and possible solutions to these problems,19-1013,Soil and Plant Scientists,0.2524576923076923,3.29,80.95,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Develop environmentally safe methods or products for controlling or eliminating weeds, crop diseases, or pests.",develop environmentally safe methods or products for controlling or eliminating weeds crop diseases or pests,19-1013,Soil and Plant Scientists,0.3323896153846153,3.47,85.0,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Conduct research to determine best methods of planting, spraying, cultivating, harvesting, storing, processing, or transporting horticultural products.",conduct research to determine best methods of planting spraying cultivating harvesting storing processing or transporting horticultural products,19-1013,Soil and Plant Scientists,0.4461538461538461,3.5,76.19,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Develop methods of conserving or managing soil that can be applied by farmers or forestry companies.,develop methods of conserving or managing soil that can be applied by farmers or forestry companies,19-1013,Soil and Plant Scientists,0.5551673076923077,4.07,70.0,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Provide advice regarding the development of regulatory standards for land reclamation or soil conservation.,provide advice regarding the development of regulatory standards for land reclamation or soil conservation,19-1013,Soil and Plant Scientists,0.8625707692307693,3.53,80.95,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Communicate research or project results to other professionals or the public or teach related courses, seminars, or workshops.",communicate research or project results to other professionals or the public or teach related courses seminars or workshops,19-1013,Soil and Plant Scientists,1.290878846153846,4.24,100.0,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Develop new or improved methods or products for controlling or eliminating weeds, crop diseases, or insect pests.",develop new or improved methods or products for controlling or eliminating weeds crop diseases or insect pests,19-1013,Soil and Plant Scientists,1.1723557692307691,3.56,76.19,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Investigate responses of soils to specific management practices to determine the use capabilities of soils and the effects of alternative practices on soil productivity.,investigate responses of soils to specific management practices to determine the use capabilities of soils and the effects of alternative practices on soil productivity,19-1013,Soil and Plant Scientists,1.2703734615384614,3.79,90.48,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Conduct experiments to develop new or improved varieties of field crops, focusing on characteristics such as yield, quality, disease resistance, nutritional value, or adaptation to specific soils or climates.",conduct experiments to develop new or improved varieties of field crops focusing on characteristics such as yield quality disease resistance nutritional value or adaptation to specific soils or climates,19-1013,Soil and Plant Scientists,0.4399888461538461,4.0,80.95,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Investigate soil problems or poor water quality to determine sources and effects.,investigate soil problems or poor water quality to determine sources and effects,19-1013,Soil and Plant Scientists,0.4200776923076923,3.84,90.48,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Provide information or recommendations to farmers or other landowners regarding ways in which they can best use land, promote plant growth, or avoid or correct problems such as erosion.",provide information or recommendations to farmers or other landowners regarding ways in which they can best use land promote plant growth or avoid or correct problems such as erosion,19-1013,Soil and Plant Scientists,1.2011538461538462,4.05,95.24,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Develop improved measurement techniques, soil conservation methods, soil sampling devices, or related technology.",develop improved measurement techniques soil conservation methods soil sampling devices or related technology,19-1013,Soil and Plant Scientists,0.3412257692307692,3.5,85.71,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Conduct experiments investigating how soil forms, changes, or interacts with land-based ecosystems or living organisms.",conduct experiments investigating how soil forms changes or interacts with landbased ecosystems or living organisms,19-1013,Soil and Plant Scientists,0.2049653846153846,3.06,80.95,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Identify degraded or contaminated soils and develop plans to improve their chemical, biological, or physical characteristics.",identify degraded or contaminated soils and develop plans to improve their chemical biological or physical characteristics,19-1013,Soil and Plant Scientists,0.3218865384615385,3.59,80.95,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Survey undisturbed or disturbed lands for classification, inventory, mapping, environmental impact assessments, environmental protection planning, conservation planning, or reclamation planning.",survey undisturbed or disturbed lands for classification inventory mapping environmental impact assessments environmental protection planning conservation planning or reclamation planning,19-1013,Soil and Plant Scientists,0.2445776923076923,3.29,66.67,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
Perform chemical analyses of the microorganism content of soils to determine microbial reactions or chemical mineralogical relationships to plant growth.,perform chemical analyses of the microorganism content of soils to determine microbial reactions or chemical mineralogical relationships to plant growth,19-1013,Soil and Plant Scientists,0.4286057692307692,3.29,71.43,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Study soil characteristics to classify soils on the basis of factors such as geographic location, landscape position, or soil properties.",study soil characteristics to classify soils on the basis of factors such as geographic location landscape position or soil properties,19-1013,Soil and Plant Scientists,0.5363796153846154,3.53,80.95,19-1013.00,16600.0,70.0,19,"Life, Physical, and Social Science Occupations"
"Investigate the nature, composition, or expression of genes or research how genetic engineering can impact these processes.",investigate the nature composition or expression of genes or research how genetic engineering can impact these processes,19-1021,Biochemists and Biophysicists,1.2432123076923078,3.25,60.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Study physical principles of living cells or organisms and their electrical or mechanical energy, applying methods and knowledge of mathematics, physics, chemistry, or biology.",study physical principles of living cells or organisms and their electrical or mechanical energy applying methods and knowledge of mathematics physics chemistry or biology,19-1021,Biochemists and Biophysicists,2.644807692307692,4.45,100.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Produce pharmaceutically or industrially useful proteins, using recombinant DNA technology.",produce pharmaceutically or industrially useful proteins using recombinant dna technology,19-1021,Biochemists and Biophysicists,1.2939265384615384,3.18,55.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Isolate, analyze, or synthesize vitamins, hormones, allergens, minerals, or enzymes and determine their effects on body functions.",isolate analyze or synthesize vitamins hormones allergens minerals or enzymes and determine their effects on body functions,19-1021,Biochemists and Biophysicists,1.9029334615384617,3.33,75.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Research transformations of substances in cells, using atomic isotopes.",research transformations of substances in cells using atomic isotopes,19-1021,Biochemists and Biophysicists,0.290625,3.6,80.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Teach or advise undergraduate or graduate students or supervise their research.,teach or advise undergraduate or graduate students or supervise their research,19-1021,Biochemists and Biophysicists,2.799563076923077,4.53,95.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Examine the molecular or chemical aspects of immune system functioning.,examine the molecular or chemical aspects of immune system functioning,19-1021,Biochemists and Biophysicists,1.0290865384615384,3.31,80.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Design or build laboratory equipment needed for special research projects.,design or build laboratory equipment needed for special research projects,19-1021,Biochemists and Biophysicists,0.7925,4.05,100.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Develop methods to process, store, or use foods, drugs, or chemical compounds.",develop methods to process store or use foods drugs or chemical compounds,19-1021,Biochemists and Biophysicists,1.117521923076923,3.25,60.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Write grant proposals to obtain funding for research.,write grant proposals to obtain funding for research,19-1021,Biochemists and Biophysicists,0.7463353846153846,4.37,95.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Research how characteristics of plants or animals are carried through successive generations.,research how characteristics of plants or animals are carried through successive generations,19-1021,Biochemists and Biophysicists,1.1859092307692307,3.29,70.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Design or perform experiments with equipment, such as lasers, accelerators, or mass spectrometers.",design or perform experiments with equipment such as lasers accelerators or mass spectrometers,19-1021,Biochemists and Biophysicists,0.6089096153846154,4.22,90.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Prepare pharmaceutical compounds for commercial distribution.,prepare pharmaceutical compounds for commercial distribution,19-1021,Biochemists and Biophysicists,1.7370192307692307,3.75,40.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Research the chemical effects of substances, such as drugs, serums, hormones, or food, on tissues or vital processes.",research the chemical effects of substances such as drugs serums hormones or food on tissues or vital processes,19-1021,Biochemists and Biophysicists,1.868028846153846,3.69,80.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Prepare reports or recommendations, based upon research outcomes.",prepare reports or recommendations based upon research outcomes,19-1021,Biochemists and Biophysicists,0.9392307692307692,4.05,100.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Manage laboratory teams or monitor the quality of a team's work.,manage laboratory teams or monitor the quality of a teams work,19-1021,Biochemists and Biophysicists,2.5348076923076923,4.45,100.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Share research findings by writing scientific articles or by making presentations at scientific conferences.,share research findings by writing scientific articles or by making presentations at scientific conferences,19-1021,Biochemists and Biophysicists,0.9825,4.7,100.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Develop or execute tests to detect diseases, genetic disorders, or other abnormalities.",develop or execute tests to detect diseases genetic disorders or other abnormalities,19-1021,Biochemists and Biophysicists,1.0779853846153844,3.5,70.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Develop new methods to study the mechanisms of biological processes.,develop new methods to study the mechanisms of biological processes,19-1021,Biochemists and Biophysicists,0.9498076923076924,4.4,100.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Study the mutations in organisms that lead to cancer or other diseases.,study the mutations in organisms that lead to cancer or other diseases,19-1021,Biochemists and Biophysicists,1.7404234615384615,3.71,85.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Study spatial configurations of submicroscopic molecules, such as proteins, using x-rays or electron microscopes.",study spatial configurations of submicroscopic molecules such as proteins using xrays or electron microscopes,19-1021,Biochemists and Biophysicists,0.3927653846153845,3.95,95.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Study the chemistry of living processes, such as cell development, breathing and digestion, or living energy changes, such as growth, aging, or death.",study the chemistry of living processes such as cell development breathing and digestion or living energy changes such as growth aging or death,19-1021,Biochemists and Biophysicists,1.2045673076923076,3.88,84.21,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Determine the three-dimensional structure of biological macromolecules.,determine the threedimensional structure of biological macromolecules,19-1021,Biochemists and Biophysicists,0.5384615384615384,4.2,80.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
Develop or test new drugs or medications intended for commercial distribution.,develop or test new drugs or medications intended for commercial distribution,19-1021,Biochemists and Biophysicists,1.0057692307692307,3.44,80.0,19-1021.00,34520.0,370.0,19,"Life, Physical, and Social Science Occupations"
"Use a variety of specialized equipment, such as electron microscopes, gas and high-pressure liquid chromatographs, electrophoresis units, thermocyclers, fluorescence-activated cell sorters, and phosphorimagers.",use a variety of specialized equipment such as electron microscopes gas and highpressure liquid chromatographs electrophoresis units thermocyclers fluorescenceactivated cell sorters and phosphorimagers,19-1022,Microbiologists,2.044038461538461,4.15,90.91,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Develop new products and procedures for sterilization, food and pharmaceutical supply preservation, or microbial contamination detection.",develop new products and procedures for sterilization food and pharmaceutical supply preservation or microbial contamination detection,19-1022,Microbiologists,0.5403569230769231,3.47,68.18,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Monitor and perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection.",monitor and perform tests on water food and the environment to detect harmful microorganisms or to obtain information about sources of pollution contamination or infection,19-1022,Microbiologists,3.253475384615385,4.28,81.82,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Isolate and maintain cultures of bacteria or other microorganisms in prescribed or developed media, controlling moisture, aeration, temperature, and nutrition.",isolate and maintain cultures of bacteria or other microorganisms in prescribed or developed media controlling moisture aeration temperature and nutrition,19-1022,Microbiologists,4.448331538461539,4.59,100.0,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Research use of bacteria and microorganisms to develop vitamins, antibiotics, amino acids, grain alcohol, sugars, and polymers.",research use of bacteria and microorganisms to develop vitamins antibiotics amino acids grain alcohol sugars and polymers,19-1022,Microbiologists,1.290861923076923,3.71,63.64,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Conduct chemical analyses of substances such as acids, alcohols, and enzymes.",conduct chemical analyses of substances such as acids alcohols and enzymes,19-1022,Microbiologists,1.7378723076923075,3.33,81.82,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Study the structure and function of human, animal, and plant tissues, cells, pathogens, and toxins.",study the structure and function of human animal and plant tissues cells pathogens and toxins,19-1022,Microbiologists,0.7111973076923077,3.53,77.27,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
Supervise biological technologists and technicians and other scientists.,supervise biological technologists and technicians and other scientists,19-1022,Microbiologists,3.775,4.2,90.91,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Study growth, structure, development, and general characteristics of bacteria and other microorganisms to understand their relationship to human, plant, and animal health.",study growth structure development and general characteristics of bacteria and other microorganisms to understand their relationship to human plant and animal health,19-1022,Microbiologists,1.0391311538461538,3.57,95.45,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Investigate the relationship between organisms and disease, including the control of epidemics and the effects of antibiotics on microorganisms.",investigate the relationship between organisms and disease including the control of epidemics and the effects of antibiotics on microorganisms,19-1022,Microbiologists,1.4112926923076925,4.11,81.82,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Observe action of microorganisms upon living tissues of plants, higher animals, and other microorganisms, and on dead organic matter.",observe action of microorganisms upon living tissues of plants higher animals and other microorganisms and on dead organic matter,19-1022,Microbiologists,1.6805715384615385,3.67,81.82,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Provide laboratory services for health departments, community environmental health programs, and physicians needing information for diagnosis and treatment.",provide laboratory services for health departments community environmental health programs and physicians needing information for diagnosis and treatment,19-1022,Microbiologists,4.187733846153846,4.29,77.27,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Examine physiological, morphological, and cultural characteristics, using microscope, to identify and classify microorganisms in human, water, and food specimens.",examine physiological morphological and cultural characteristics using microscope to identify and classify microorganisms in human water and food specimens,19-1022,Microbiologists,5.378417692307693,4.26,86.36,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
"Prepare technical reports and recommendations, based upon research outcomes.",prepare technical reports and recommendations based upon research outcomes,19-1022,Microbiologists,0.5898076923076923,4.05,90.91,19-1022.00,19760.0,140.0,19,"Life, Physical, and Social Science Occupations"
Prepare collections of preserved specimens or microscopic slides for species identification and study of development or disease.,prepare collections of preserved specimens or microscopic slides for species identification and study of development or disease,19-1023,Zoologists and Wildlife Biologists,0.1778184615384615,3.08,26.46,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
Conduct literature reviews.,conduct literature reviews,19-1023,Zoologists and Wildlife Biologists,0.2138138461538461,3.35,82.88,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
"Develop, or make recommendations on, management systems and plans for wildlife populations and habitat, consulting with stakeholders and the public at large to explore options.",develop or make recommendations on management systems and plans for wildlife populations and habitat consulting with stakeholders and the public at large to explore options,19-1023,Zoologists and Wildlife Biologists,0.9414580769230768,4.08,95.53,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
"Check for, and ensure compliance with, environmental laws, and notify law enforcement when violations are identified.",check for and ensure compliance with environmental laws and notify law enforcement when violations are identified,19-1023,Zoologists and Wildlife Biologists,0.6286453846153846,3.49,91.31,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
"Inform and respond to public regarding wildlife and conservation issues, such as plant identification, hunting ordinances, and nuisance wildlife.",inform and respond to public regarding wildlife and conservation issues such as plant identification hunting ordinances and nuisance wildlife,19-1023,Zoologists and Wildlife Biologists,1.1593115384615384,3.75,96.95,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
Collect and dissect animal specimens and examine specimens under microscope.,collect and dissect animal specimens and examine specimens under microscope,19-1023,Zoologists and Wildlife Biologists,0.1222542307692307,2.61,40.26,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
Coordinate preventive programs to control the outbreak of wildlife diseases.,coordinate preventive programs to control the outbreak of wildlife diseases,19-1023,Zoologists and Wildlife Biologists,0.7670088461538461,3.45,53.77,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
"Disseminate information by writing reports and scientific papers or journal articles, and by making presentations and giving talks for schools, clubs, interest groups and park interpretive programs.",disseminate information by writing reports and scientific papers or journal articles and by making presentations and giving talks for schools clubs interest groups and park interpretive programs,19-1023,Zoologists and Wildlife Biologists,0.2447526923076923,3.59,95.79,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
"Perform administrative duties, such as fundraising, public relations, budgeting, and supervision of zoo staff.",perform administrative duties such as fundraising public relations budgeting and supervision of zoo staff,19-1023,Zoologists and Wildlife Biologists,0.6889842307692308,3.53,77.91,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
"Study characteristics of animals, such as origin, interrelationships, classification, life histories, diseases, development, genetics, and distribution.",study characteristics of animals such as origin interrelationships classification life histories diseases development genetics and distribution,19-1023,Zoologists and Wildlife Biologists,1.0444653846153846,3.56,86.62,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
Analyze characteristics of animals to identify and classify them.,analyze characteristics of animals to identify and classify them,19-1023,Zoologists and Wildlife Biologists,0.5276988461538462,3.49,90.43,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
Inventory or estimate plant and wildlife populations.,inventory or estimate plant and wildlife populations,19-1023,Zoologists and Wildlife Biologists,0.9273846153846156,4.08,96.79,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
"Study animals in their natural habitats, assessing effects of environment and industry on animals, interpreting findings and recommending alternative operating conditions for industry.",study animals in their natural habitats assessing effects of environment and industry on animals interpreting findings and recommending alternative operating conditions for industry,19-1023,Zoologists and Wildlife Biologists,0.8411123076923077,3.63,86.05,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
Organize and conduct experimental studies with live animals in controlled or natural surroundings.,organize and conduct experimental studies with live animals in controlled or natural surroundings,19-1023,Zoologists and Wildlife Biologists,0.4492538461538461,3.67,50.06,19-1023.00,16920.0,350.0,19,"Life, Physical, and Social Science Occupations"
Create or use statistical models for the analysis of genetic data.,create or use statistical models for the analysis of genetic data,19-1029,Geneticists,0.3493407692307692,3.52,92.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Design sampling plans or coordinate the field collection of samples such as tissue specimens.,design sampling plans or coordinate the field collection of samples such as tissue specimens,19-1029,Geneticists,0.1753215384615384,3.17,75.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
