task,occupation,n_ratings,mean_rating,median_rating,max_rating,min_rating,p25_rating,p75_rating,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015
Participate in the work of subordinates to facilitate productivity or to overcome difficult aspects of work.,First-Line Supervisors of Office and Administrative Support Workers,93,1.29,1.0,2,1,1.0,2.0,participate in the work of subordinates to facilitate productivity or to overcome difficult aspects of work,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,firstline supervisors of office and administrative support workers,Core,125.0,Incumbent,1.0,0.1651792029491882,0.2033217511069452,Office and Administrative Support Occupations,1.0,31.8,66140.0,30.76,63970.0,1495580.0,18770.0,25.3,52630.0,34.408,71576.8,22.33,46450.0,30.3688,63172.00000000001,1424450.0,15140.0,0.969975623167084,0.8974506091380267,1.0329836850290646,0.8039037651793917,0.6594088461538462,3.85,91.56,False,0.6594088461538462,3.85,91.56,False
Contact insurance companies to check on status of claims payments and write appeal letters for denial on claims.,Bill and Account Collectors,92,1.45,1.0,3,1,1.0,2.0,contact insurance companies to check on status of claims payments and write appeal letters for denial on claims,43-3011.00,Bill and Account Collectors,bill and account collectors,Supplemental,144.0,Incumbent,1.0,0.0015954205049824,0.0019638288902795,Office and Administrative Support Occupations,1.0,22.14,46040.0,21.46,44640.0,165020.0,3160.0,16.56,34440.0,22.5216,46838.4,13.85,28810.0,18.836,39181.600000000006,318970.0,4710.0,0.1070256203847552,0.1510891808671371,0.2313108961449827,0.2500915940551476,1.2434576923076923,3.78,64.07,False,3.0323488461538464,4.15,44.58,False
"Develop training materials and procedures, or train users in the proper use of hardware or software.",Computer User Support Specialists,91,1.82,2.0,3,1,1.0,2.0,develop training materials and procedures or train users in the proper use of hardware or software,15-1151.00,Computer User Support Specialists,computer user support specialists,Core,140.0,Incumbent,1.0,0.0029781182759672,0.0036658139285218,Computer and Mathematical Occupations,2.0,29.01,60340.0,27.67,57560.0,697210.0,10750.0,23.38,48620.0,31.7968,66123.20000000001,20.39,42420.0,27.730400000000003,57691.2,585060.0,7760.0,0.4521835704063459,0.5139900931397862,0.424274235503601,0.4120405031566763,0.3862807692307692,3.3,100.0,False,1.3816876923076922,3.91,87.05,False
"Provide advice to clients on a contract basis, working as a consultant.",Actuaries,91,1.32,1.0,2,1,1.0,2.0,provide advice to clients on a contract basis working as a consultant,15-2011.00,Actuaries,actuaries,Core,33.0,Occupational Expert,1.0,0.0138269777098482,0.0170198503824229,Computer and Mathematical Occupations,1.0,60.47,125770.0,61.95,128860.0,28340.0,320.0,46.67,97070.0,63.47120000000001,132015.2,24.47,50910.0,33.2792,69237.6,19770.0,140.0,0.0183802331941822,0.0153001702143936,0.0143368229513318,0.007433720417775,1.7361180769230766,3.8,89.29,False,1.7170007692307692,4.15,81.82,False
"Apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",Financial Quantitative Analysts,90,2.77,3.0,5,1,2.0,3.0,apply mathematical or statistical techniques to address practical issues in finance such as derivative valuation securities trading risk management or financial market regulation,13-2099.01,Financial Quantitative Analysts,financial quantitative analysts,Core,,Analyst,1.0,0.062540483795314,0.0769820924989592,Business and Financial Operations Occupations,1.0,38.55,80190.0,37.47,77940.0,63725.0,2110.0,32.05,66670.0,43.588,90671.2,29.1,60520.0,39.57600000000001,82307.20000000001,65302.0,570.0,0.041329582226509,0.100885497351158,0.0473557517636757,0.0302658617009414,1.8071153846153845,4.4,100.0,False,1.1945098733302626,3.912904191616767,85.02059880239521,True
Maintain or modify all financial analytic models in use.,Financial Quantitative Analysts,90,2.5,3.0,4,1,2.0,3.0,maintain or modify all financial analytic models in use,13-2099.01,Financial Quantitative Analysts,financial quantitative analysts,Core,,Analyst,1.0,0.0076580184239159,0.0094263786733419,Business and Financial Operations Occupations,1.0,38.55,80190.0,37.47,77940.0,63725.0,2110.0,32.05,66670.0,43.588,90671.2,29.1,60520.0,39.57600000000001,82307.20000000001,65302.0,570.0,0.041329582226509,0.100885497351158,0.0473557517636757,0.0302658617009414,0.2103846153846154,3.65,100.0,False,1.1945098733302626,3.912904191616767,85.02059880239521,True
"Provide information about facilities, entertainment options, and rules and regulations.",Amusement and Recreation Attendants,88,1.84,2.0,4,1,1.0,3.0,provide information about facilities entertainment options and rules and regulations,39-3091.00,Amusement and Recreation Attendants,amusement and recreation attendants,Core,64.0,Incumbent,1.0,0.0087216320939042,0.0107355979335282,Personal Care and Service Occupations,4.0,14.66,30490.0,13.06,27170.0,371590.0,5960.0,9.27,19280.0,12.6072,26220.800000000003,9.03,18770.0,12.2808,25527.2,273870.0,4260.0,0.2409989715111574,0.2849656702430814,0.1986052454062339,0.226197492712299,3.820313846153845,4.1,99.93,False,5.499436153846154,4.23,88.03,False
"Develop graphics and layouts for product illustrations, company logos, and Web sites.",Graphic Designers,87,3.45,4.0,4,1,3.0,4.0,develop graphics and layouts for product illustrations company logos and web sites,27-1024.00,Graphic Designers,graphic designers,Core,29.0,Occupational Expert,1.0,0.0034035637439626,0.0041895016325963,"Arts, Design, Entertainment, Sports, and Media Occupations",8.0,29.47,61300.0,28.37,59010.0,214260.0,3070.0,22.55,46900.0,30.668000000000003,63784.00000000001,21.26,44220.0,28.91360000000001,60139.2,204850.0,2510.0,0.1389607891385144,0.1467860079943389,0.1485532717036076,0.1332759874901105,2.948006923076923,4.56,100.0,False,2.693745,4.32,100.0,False
"Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts.",Graphic Designers,87,3.32,4.0,4,1,3.0,4.0,create designs concepts and sample layouts based on knowledge of layout principles and esthetic design concepts,27-1024.00,Graphic Designers,graphic designers,Core,29.0,Occupational Expert,1.0,0.008827993460903,0.0108665198595468,"Arts, Design, Entertainment, Sports, and Media Occupations",8.0,29.47,61300.0,28.37,59010.0,214260.0,3070.0,22.55,46900.0,30.668000000000003,63784.00000000001,21.26,44220.0,28.91360000000001,60139.2,204850.0,2510.0,0.1389607891385144,0.1467860079943389,0.1485532717036076,0.1332759874901105,6.440739999999999,4.5,100.0,False,4.604148076923077,4.9,100.0,False
Key information into computer equipment to create layouts for client or supervisor.,Graphic Designers,87,2.59,3.0,4,1,2.0,3.0,key information into computer equipment to create layouts for client or supervisor,27-1024.00,Graphic Designers,graphic designers,Core,29.0,Occupational Expert,1.0,0.0021272273399766,0.0026184385203727,"Arts, Design, Entertainment, Sports, and Media Occupations",8.0,29.47,61300.0,28.37,59010.0,214260.0,3070.0,22.55,46900.0,30.668000000000003,63784.00000000001,21.26,44220.0,28.91360000000001,60139.2,204850.0,2510.0,0.1389607891385144,0.1467860079943389,0.1485532717036076,0.1332759874901105,3.842456923076923,4.7,100.0,False,3.4118949999999995,3.88,89.66,False
"Provide information about local features, such as shopping, dining, nightlife, or recreational destinations.",Concierges,87,2.32,2.0,5,1,1.0,4.0,provide information about local features such as shopping dining nightlife or recreational destinations,39-6012.00,Concierges,concierges,Core,31.0,Occupational Expert,1.0,0.0144651459118413,0.0178053819385347,Personal Care and Service Occupations,2.0,17.94,37320.0,16.99,35350.0,44200.0,350.0,13.96,29030.0,18.9856,39480.8,13.41,27880.0,18.2376,37916.8,31430.0,140.0,0.0286664187432201,0.016734561171993,0.0227924302154961,0.007433720417775,6.459807692307693,4.58,95.24,False,6.660471923076923,4.48,100.0,False
Provide users with technical support for computer problems.,Computer and Information Systems Managers,87,2.23,2.0,4,1,2.0,3.0,provide users with technical support for computer problems,11-3021.00,Computer and Information Systems Managers,computer and information systems managers,Core,120.0,Incumbent,1.0,0.002446311440973,0.0030112042984285,Management Occupations,1.0,82.31,171200.0,78.08,162400.0,645970.0,8090.0,63.27,131600.0,86.0472,178976.0,56.31,117120.0,76.58160000000001,159283.2,341250.0,3090.0,0.4189512786325314,0.3868074282326391,0.2474679227183602,0.164072829220893,2.30213,3.99,91.34,False,3.383753846153846,3.79,98.33,False
"Collaborate with other researchers in the planning, implementation, and evaluation of surveys.",Survey Researchers,87,1.55,1.0,3,1,1.0,2.0,collaborate with other researchers in the planning implementation and evaluation of surveys,19-3022.00,Survey Researchers,survey researchers,Core,27.0,Occupational Expert,1.0,0.0020208659729778,0.0024875165943541,"Life, Physical, and Social Science Occupations",1.0,30.47,63380.0,24.11,50150.0,7720.0,40.0,25.92,53920.0,35.251200000000004,73331.20000000001,24.49,50940.0,33.306400000000004,69278.40000000001,13650.0,120.0,0.0050068948574131,0.0019125212767992,0.0098987169087344,0.0063717603580929,0.9577157692307692,3.79,100.0,False,0.8837203846153846,4.56,100.0,False
Lead tours and answer visitors' questions about the exhibits.,"Ushers, Lobby Attendants, and Ticket Takers",87,1.52,1.0,3,1,1.0,2.0,lead tours and answer visitors questions about the exhibits,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",ushers lobby attendants and ticket takers,Supplemental,97.0,Incumbent,1.0,0.0048926228819462,0.0060224085968572,Personal Care and Service Occupations,1.0,14.98,31150.0,12.29,25570.0,119210.0,1410.0,9.22,19180.0,12.5392,26084.800000000003,8.69,18070.0,11.8184,24575.2,114000.0,1830.0,0.0773150176103906,0.0674163750071719,0.0826706027542654,0.0971693454609172,3.9567415384615385,4.28,35.65,False,3.9567415384615385,4.28,35.65,False
"Confer with scientists or engineers to conduct analyses of research projects, interpret test results, or develop nonstandard tests.",Chemists,87,1.43,1.0,3,1,1.0,2.0,confer with scientists or engineers to conduct analyses of research projects interpret test results or develop nonstandard tests,19-2031.00,Chemists,chemists,Core,105.0,Incumbent,1.0,0.0137206163428494,0.0168889284564042,"Life, Physical, and Social Science Occupations",2.0,40.46,84150.0,37.15,77270.0,83250.0,740.0,34.26,71260.0,46.5936,96913.6,29.72,61830.0,40.4192,84088.8,84720.0,790.0,0.053992745709798,0.0353816436207852,0.0614373110994856,0.0419474223574451,1.176325,3.8,95.67,False,0.5061,3.98,79.04,False
Collaborate with other astronomers to carry out research projects.,Astronomers,87,1.38,1.0,3,1,1.0,2.0,collaborate with other astronomers to carry out research projects,19-2011.00,Astronomers,astronomers,Core,33.0,Occupational Expert,1.0,0.0023399500739742,0.0028802823724099,"Life, Physical, and Social Science Occupations",2.0,63.54,132170.0,63.54,132170.0,1560.0,17.0,50.05,104100.0,68.068,141576.0,50.05,104100.0,68.068,141576.0,1760.0,17.0,0.001011755955643,0.0008128215426396,0.0012763180776097,0.0009026660507298,0.5488853846153846,4.39,100.0,False,1.0348615384615385,4.42,100.0,False
Interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics.,Clinical Research Coordinators,87,1.08,1.0,2,1,1.0,1.0,interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics,11-9121.01,Clinical Research Coordinators,clinical research coordinators,Supplemental,71.0,Incumbent,1.0,0.00638168201993,0.0078553155611182,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,19052.0,652.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.4,30287.0,334.0,0.0123563938890459,0.031174096811827,0.0219635486457757,0.0177347329966919,1.772298076923077,3.73,31.04,False,0.3401057692307692,3.77,40.68,False
"Make and confirm reservations for transportation and accommodations, using telephones, faxes, mail, and computers.",Reservation and Transportation Ticket Agents and Travel Clerks,86,3.48,4.0,5,1,3.0,4.0,make and confirm reservations for transportation and accommodations using telephones faxes mail and computers,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,reservation and transportation ticket agents and travel clerks,Core,64.0,Incumbent,1.0,0.0062753206529311,0.0077243936350996,Office and Administrative Support Occupations,1.0,19.94,41460.0,18.05,37540.0,127440.0,3530.0,16.91,35170.0,22.9976,47831.2,11.99,24930.0,16.3064,33904.8,138810.0,5300.0,0.0826526788379178,0.1687800026775298,0.1006623365642068,0.2814194158157712,4.268428846153847,4.16,71.98,False,4.268428846153847,4.16,71.98,False
Make and confirm reservations.,"Hotel, Motel, and Resort Desk Clerks",86,3.33,4.0,5,1,2.0,4.0,make and confirm reservations,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",hotel motel and resort desk clerks,Core,112.0,Incumbent,1.0,0.004360816046952,0.005367798966764,Office and Administrative Support Occupations,1.0,16.48,34270.0,16.48,34270.0,261430.0,3540.0,10.11,21040.0,13.7496,28614.4,9.45,19660.0,12.852,26737.6,243210.0,2900.0,0.1695534355665165,0.1692581329967296,0.176371204349692,0.1539842086539125,6.734533076923078,4.71,99.66,False,7.414443076923076,4.61,96.92,False
Compute total charges for merchandise or services and shipping charges.,Order Clerks,86,2.76,3.0,5,1,2.0,4.0,compute total charges for merchandise or services and shipping charges,43-4151.00,Order Clerks,order clerks,Core,150.0,Incumbent,1.0,0.0017017818719813,0.0020947508162981,Office and Administrative Support Occupations,1.0,21.47,44660.0,20.17,41960.0,83420.0,840.0,15.54,32330.0,21.1344,43968.8,13.6,28290.0,18.496,38474.4,185890.0,1600.0,0.0541030011665027,0.0401629468127832,0.1348038451402666,0.0849568047745724,3.825611153846154,4.05,68.69,False,1.781373846153846,3.74,79.75,False
"Perform complex calculations as part of the analysis and evaluation of data, using computers.",Physicists,86,2.65,3.0,4,1,2.0,3.0,perform complex calculations as part of the analysis and evaluation of data using computers,19-2012.00,Physicists,physicists,Core,74.0,Incumbent,1.0,0.0160605664168237,0.0197692108288143,"Life, Physical, and Social Science Occupations",2.0,79.95,166290.0,64.37,133900.0,21340.0,60.0,53.65,111580.0,72.964,151748.80000000002,53.65,111580.0,72.964,151748.80000000002,15650.0,149.0,0.013840302623989,0.0028687819151988,0.0113490783605636,0.007911602444632,2.8725115384615383,4.32,97.54,False,3.321378461538462,4.16,100.0,False
Compile laboratory test data and perform appropriate analyses.,Quality Control Analysts,86,2.02,2.0,4,1,2.0,2.0,compile laboratory test data and perform appropriate analyses,19-4099.01,Quality Control Analysts,quality control analysts,Core,112.0,Incumbent,1.0,0.0103170525988868,0.0126994268238078,"Life, Physical, and Social Science Occupations",4.0,28.91,60130.0,25.19,52400.0,35700.0,1420.0,21.78,45300.0,29.620800000000003,61608.00000000001,24.1,50130.0,32.776,68176.8,7862.0,33.0,0.0231536459079854,0.0678945053263717,0.0057013708671406,0.0017522340984755,3.5661526923076923,4.16,91.35,False,2.110215769230769,4.34,76.95,False
"Monitor industry standards, trends, or practices to identify developments in logistics planning or execution.",Logistics Analysts,86,1.67,2.0,3,1,1.0,2.0,monitor industry standards trends or practices to identify developments in logistics planning or execution,13-1081.02,Logistics Analysts,logistics analysts,Core,26.0,Occupational Expert,1.0,0.0021272273399766,0.0026184385203727,Business and Financial Operations Occupations,1.0,38.89,80880.0,40.38,84000.0,31987.0,1617.0,35.7,74260.0,48.55200000000001,100993.6,34.56,71890.0,47.0016,97770.4,54475.0,839.0,0.0207455370212529,0.0773136726146078,0.0395042200441983,0.0445492245036664,0.2939080769230769,3.38,95.45,False,0.1587803846153846,3.24,80.77,False
"Compile, administer, and grade examinations or assign this work to others.","Computer Science Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1021.00,"Computer Science Teachers, Postsecondary",computer science teachers postsecondary,Core,58.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,2.0,46.48557692307692,96690.0,48.24038461538461,100340.0,36240.0,420.0,35.98076923076923,74840.0,48.93384615384616,101782.4,31.45673076923077,65430.0,42.78115384615385,88984.8,33760.0,530.0,0.0235038691234003,0.0200814734063916,0.0244821013068771,0.0281419415815771,0.9257576923076924,4.58,95.2,False,0.6189707692307692,4.34,100.0,False
"Compile, administer, and grade examinations, or assign this work to others.","Agricultural Sciences Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",agricultural sciences teachers postsecondary,Core,90.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,3.0,41.51442307692308,86350.0,29.88942307692308,62170.0,8700.0,100.0,43.64423076923077,90780.0,59.356153846153845,123460.8,35.64423076923077,74140.0,48.47615384615385,100830.4,9680.0,150.0,0.0056424851372401,0.004781303191998,0.0070197494268534,0.0079647004476161,0.3675492307692308,3.93,93.08,False,0.3808580769230769,4.08,98.98,False
"Compile, administer, and grade examinations, or assign this work to others.","Anthropology and Archeology Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",anthropology and archeology teachers postsecondary,Core,58.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,8.0,46.04326923076923,95770.0,36.30769230769231,75520.0,5260.0,70.0,37.33173076923077,77650.0,50.77115384615384,105604.0,35.25480769230769,73330.0,47.94653846153847,99728.8,6000.0,40.0,0.0034114335427451,0.0033469122343986,0.0043510843554876,0.0021239201193643,0.8279146153846154,4.18,100.0,False,0.4534203846153846,4.4,100.0,False
"Compile, administer, and grade examinations, or assign this work to others.","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",area ethnic and cultural studies teachers postsecondary,Core,52.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,8.0,40.52403846153846,84290.0,31.197115384615383,64890.0,11430.0,160.0,34.75961538461539,72300.0,47.27307692307693,98328.0,29.23076923076923,60800.0,39.75384615384616,82688.0,9240.0,40.0,0.0074130580596155,0.0076500851071968,0.0067006699074509,0.0021239201193643,0.9965057692307692,4.36,96.88,False,0.5481646153846154,4.49,100.0,False
"Compile, administer, and grade examinations, or assign this work to others.","Art, Drama, and Music Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",art drama and music teachers postsecondary,Core,91.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,6.0,38.55288461538461,80190.0,30.528846153846157,63500.0,97890.0,890.0,31.41346153846154,65340.0,42.722307692307695,88862.40000000001,29.125,60580.0,39.61,82388.8,98310.0,1510.0,0.0634876862166021,0.0425535984087823,0.0712925171646652,0.0801779845060027,0.8771061538461538,4.13,82.83,False,0.3502276923076923,4.32,90.15,False
"Compile, administer, and grade examinations, or assign this work to others.","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",atmospheric earth marine and space sciences teachers postsecondary,Core,64.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,4.0,48.74519230769231,101390.0,37.45192307692308,77900.0,11480.0,190.0,39.97596153846154,83150.0,54.3673076923077,113084.0,44.13461538461539,91800.0,60.02307692307693,124848.0,10890.0,210.0,0.0074454861351168,0.0090844760647962,0.00789721810521,0.0111505806266626,0.4368815384615385,4.22,97.43,False,0.5622776923076923,4.17,100.0,False
"Compile, administer, and grade examinations, or assign this work to others.","Biological Science Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1042.00,"Biological Science Teachers, Postsecondary",biological science teachers postsecondary,Core,118.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,3.0,40.125,83460.0,49.91826923076923,103830.0,53250.0,610.0,36.21153846153846,75320.0,49.24769230769231,102435.2,41.80288461538461,86950.0,56.85192307692308,118252.0,51640.0,580.0,0.0345359004089699,0.0291659494711878,0.0374483326862304,0.0307968417307825,0.3893469230769231,4.16,99.68,False,0.3939180769230769,4.45,100.0,False
"Compile, administer, and grade examinations, or assign this work to others.","Business Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1011.00,"Business Teachers, Postsecondary",business teachers postsecondary,Core,95.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,1.0,46.76442307692308,97270.0,59.91346153846154,124620.0,81780.0,430.0,36.23557692307692,75370.0,49.28038461538461,102503.2,36.70673076923077,76350.0,49.92115384615385,103836.0,84890.0,960.0,0.0530393602900574,0.0205596037255914,0.0615605918228911,0.0509740828647434,0.4246369230769231,4.35,100.0,False,0.9597576923076924,4.33,100.0,False
"Compile, administer, and grade examinations, or assign this work to others.","Chemistry Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1052.00,"Chemistry Teachers, Postsecondary",chemistry teachers postsecondary,Core,102.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,4.0,41.45192307692308,86220.0,50.52403846153846,105090.0,20390.0,280.0,36.08653846153846,75060.0,49.07769230769231,102081.6,42.39423076923077,88180.0,57.65615384615385,119924.8,21460.0,270.0,0.0132241691894628,0.0133876489375944,0.0155623783781275,0.014336460805709,0.5204707692307693,4.37,94.35,False,0.4586542307692308,4.23,99.31,False
"Compile, administer, and grade examinations, or assign this work to others.","Communications Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1122.00,"Communications Teachers, Postsecondary",communications teachers postsecondary,Core,93.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,6.0,37.40384615384615,77800.0,30.197115384615383,62810.0,29260.0,210.0,30.485576923076923,63410.0,41.46038461538462,86237.6,31.302884615384617,65110.0,42.571923076923085,88549.6,29050.0,380.0,0.0189769097834076,0.0100407367031958,0.0210665000878193,0.0201772411339609,1.11713,4.66,99.77,False,0.5207776923076923,4.39,98.29,False
"Compile, administer, and grade examinations, or assign this work to others.","Criminal Justice and Law Enforcement Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",criminal justice and law enforcement teachers postsecondary,Core,104.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,3.0,34.36057692307692,71470.0,38.31730769230769,79700.0,13560.0,80.0,28.254807692307693,58770.0,38.42653846153846,79927.20000000001,27.91346153846154,58060.0,37.9623076923077,78961.6,14560.0,300.0,0.0087944940759743,0.0038250425535984,0.0105586313693167,0.0159294008952323,0.4156307692307692,4.32,95.99,False,0.6371411538461539,4.34,94.1,False
"Compile, administer, and grade examinations, or assign this work to others.","Economics Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1063.00,"Economics Teachers, Postsecondary",economics teachers postsecondary,Core,101.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,8.0,57.68269230769231,119980.0,49.32211538461539,102590.0,12420.0,160.0,45.19230769230769,94000.0,61.46153846153847,127840.0,51.87980769230769,107910.0,70.55653846153847,146757.6,13580.0,110.0,0.0080551339545428,0.0076500851071968,0.0098479542579203,0.0058407803282518,0.8389357692307693,3.99,95.81,False,0.4238223076923076,4.39,100.0,False
"Compile, administer, and grade examinations, or assign this work to others.","Education Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1081.00,"Education Teachers, Postsecondary",education teachers postsecondary,Core,93.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,2.0,34.65865384615385,72090.0,32.49038461538461,67580.0,59090.0,300.0,29.596153846153847,61560.0,40.25076923076924,83721.6,30.403846153846157,63240.0,41.34923076923077,86006.40000000001,60260.0,520.0,0.0383234996275311,0.014343909575994,0.0436993905436143,0.027610961551736,0.6690619230769231,4.25,99.69,False,0.3564942307692308,3.89,95.96,False
"Compile, administer, and grade examinations, or assign this work to others.","Engineering Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1032.00,"Engineering Teachers, Postsecondary",engineering teachers postsecondary,Core,70.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,2.0,51.01923076923077,106120.0,49.45673076923077,102870.0,39910.0,390.0,45.70192307692308,95060.0,62.1546153846154,129281.6,48.49519230769231,100870.0,65.95346153846154,137183.2,37270.0,380.0,0.0258840898652016,0.0186470824487922,0.0270274856548374,0.0201772411339609,0.5053807692307692,3.96,95.22,False,0.357161923076923,3.93,100.0,False
"Compile, administer, and grade examinations, or assign this work to others.","English Language and Literature Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1123.00,"English Language and Literature Teachers, Postsecondary",english language and literature teachers postsecondary,Core,121.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,6.0,37.62980769230769,78270.0,30.182692307692307,62780.0,59590.0,450.0,29.802884615384617,61990.0,40.53192307692308,84306.40000000001,30.375,63180.0,41.31,85924.8,75730.0,900.0,0.0386477803825449,0.021515864363991,0.0549179363735133,0.0477882026856969,0.7221465384615384,4.02,93.76,False,0.3473438461538461,4.07,85.36,False
"Compile, administer, and grade examinations, or assign this work to others.","Environmental Science Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1053.00,"Environmental Science Teachers, Postsecondary",environmental science teachers postsecondary,Core,93.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,4.0,42.16826923076923,87710.0,42.16826923076923,87710.0,7130.0,79.0,37.87019230769231,78770.0,51.50346153846154,107127.2,43.8125,91130.0,59.585,123936.8,5540.0,100.0,0.0046242435664968,0.0037772295216784,0.0040175012215669,0.0053098002984107,0.4432392307692308,3.93,98.16,False,1.4581884615384617,4.05,100.0,False
"Compile, administer, and grade examinations, or assign this work to others.","Foreign Language and Literature Teachers, Postsecondary",86,1.42,1.0,5,1,1.0,2.0,compile administer and grade examinations or assign this work to others,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",foreign language and literature teachers postsecondary,Core,68.0,Incumbent,34.0,0.0582860291153606,0.0021101533958298,Educational Instruction and Library Occupations,6.0,37.02403846153846,77010.0,31.26923076923077,65040.0,21170.0,110.0,29.509615384615383,61380.0,40.13307692307692,83476.8,36.33173076923077,75570.0,49.41115384615384,102775.2,30120.0,280.0,0.0137300471672843,0.0052594335111978,0.021842443464548,0.0148674408355501,0.315795,4.34,92.39,False,0.6027596153846154,4.4,98.78,False
