task,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015
"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, and potential subject risks.",review proposed study protocols to evaluate factors such as sample collection processes data management plans and potential subject risks,11-9121.01,Clinical Research Coordinators,clinical research coordinators,Core,70.0,Incumbent,1.0,0.01148702763587395,0.014139568010012862,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,57157.0,652.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.40000000001,30287.0,334.0,0.037069830228647765,0.03117409681182703,0.02196354864577576,0.017734732996691996,0.9914408653846154,3.9225000000000003,75.88125,True,0.20776692307692307,3.97,79.68,False
"Prepare study-related documentation such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, and progress reports.",prepare studyrelated documentation such as protocol worksheets procedural manuals adverse event reports institutional review board documents and progress reports,11-9121.01,Clinical Research Coordinators,clinical research coordinators,Core,74.0,Incumbent,1.0,0.009785245763892631,0.01204481719371467,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,57157.0,652.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.40000000001,30287.0,334.0,0.037069830228647765,0.03117409681182703,0.02196354864577576,0.017734732996691996,0.9914408653846154,3.9225000000000003,75.88125,True,0.972565,4.11,92.37,False
"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",review scientific literature participate in continuing education activities or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues,11-9121.01,Clinical Research Coordinators,clinical research coordinators,Core,71.0,Incumbent,1.0,0.005318068349941626,0.006546096300931858,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,57157.0,652.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.40000000001,30287.0,334.0,0.037069830228647765,0.03117409681182703,0.02196354864577576,0.017734732996691996,0.1309823076923077,3.48,84.9,False,0.25387000000000004,3.45,95.93,False
Participate in the development of study protocols including guidelines for administration or data collection procedures.,participate in the development of study protocols including guidelines for administration or data collection procedures,11-9121.01,Clinical Research Coordinators,clinical research coordinators,Core,71.0,Incumbent,1.0,0.0032972023769637956,0.004058579706577737,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,57157.0,652.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.40000000001,30287.0,334.0,0.037069830228647765,0.03117409681182703,0.02196354864577576,0.017734732996691996,0.22128807692307695,3.74,79.1,False,0.1514823076923077,3.75,75.25,False
Inform patients or caregivers about study aspects and outcomes to be expected.,inform patients or caregivers about study aspects and outcomes to be expected,11-9121.01,Clinical Research Coordinators,clinical research coordinators,Supplemental,71.0,Incumbent,1.0,0.005424429716940462,0.006677018226950501,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,57157.0,652.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.40000000001,30287.0,334.0,0.037069830228647765,0.03117409681182703,0.02196354864577576,0.017734732996691996,2.05304,4.38,89.97,False,0.8873338461538463,3.99,47.06,False
Communicate with laboratories or investigators regarding laboratory findings.,communicate with laboratories or investigators regarding laboratory findings,11-9121.01,Clinical Research Coordinators,clinical research coordinators,Core,72.0,Incumbent,1.0,0.002765395541969609,0.003403970076484522,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,57157.0,652.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.40000000001,30287.0,334.0,0.037069830228647765,0.03117409681182703,0.02196354864577576,0.017734732996691996,0.7118715384615385,3.62,78.48,False,0.4718961538461538,3.48,88.05,False
Interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics.,interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics,11-9121.01,Clinical Research Coordinators,clinical research coordinators,Supplemental,71.0,Incumbent,1.0,0.00638168201993,0.00785531556111829,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,57157.0,652.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.40000000001,30287.0,334.0,0.037069830228647765,0.03117409681182703,0.02196354864577576,0.017734732996691996,1.772298076923077,3.73,31.04,False,0.34010576923076924,3.77,40.68,False
"Identify protocol problems, inform investigators of problems, or assist in problem resolution efforts such as protocol revisions.",identify protocol problems inform investigators of problems or assist in problem resolution efforts such as protocol revisions,11-9121.01,Clinical Research Coordinators,clinical research coordinators,Core,72.0,Incumbent,1.0,0.0019145046059789916,0.002356594668335477,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,57157.0,652.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.40000000001,30287.0,334.0,0.037069830228647765,0.03117409681182703,0.02196354864577576,0.017734732996691996,1.151658076923077,4.25,95.01,False,0.9262015384615385,4.11,92.77,False
Provide technical expertise to assist communities in the development or implementation of storm water monitoring or other water programs.,provide technical expertise to assist communities in the development or implementation of storm water monitoring or other water programs,11-9121.02,Water Resource Specialists,water resource specialists,Core,29.0,Occupational Expert,1.0,0.005318068349941626,0.006546096300931858,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,7889.0,90.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.40000000001,4180.0,46.0,0.0051165017526077685,0.00430317287279821,0.003031255434323065,0.0024425081372689574,0.7389184615384614,3.52,95.45,False,0.4380323076923077,3.64,96.55,False
"Conduct, or oversee the conduct of, chemical, physical, and biological water quality monitoring or sampling to ensure compliance with water quality standards.",conduct or oversee the conduct of chemical physical and biological water quality monitoring or sampling to ensure compliance with water quality standards,11-9121.02,Water Resource Specialists,water resource specialists,Core,29.0,Occupational Expert,1.0,0.002871756908968446,0.0035348920025031648,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,7889.0,90.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.40000000001,4180.0,46.0,0.0051165017526077685,0.00430317287279821,0.003031255434323065,0.0024425081372689574,0.15192307692307694,3.35,90.91,False,1.0000953846153846,3.72,100.0,False
"Present water resource proposals to government, public interest groups, or community groups.",present water resource proposals to government public interest groups or community groups,11-9121.02,Water Resource Specialists,water resource specialists,Core,29.0,Occupational Expert,1.0,0.002233588706975422,0.002749360446391306,Management Occupations,1.0,77.49,161180.0,56.34,117190.0,7889.0,90.0,57.77,120160.0,78.56720000000001,163417.6,45.48,94590.0,61.8528,128642.40000000001,4180.0,46.0,0.0051165017526077685,0.00430317287279821,0.003031255434323065,0.0024425081372689574,0.6093065384615384,3.68,100.0,False,0.22374500000000003,3.79,96.55,False
Act as liaisons between on-site managers or tenants and owners.,act as liaisons between onsite managers or tenants and owners,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.004148093312954495,0.005105955114726883,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.5952292307692308,4.06,85.0,False,2.8125,4.38,80.77,False
Review rents to ensure that they are in line with rental markets.,review rents to ensure that they are in line with rental markets,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.0020208659729778287,0.0024875165943541197,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.30441615384615384,4.46,65.0,False,0.8067507692307693,3.84,73.08,False
"Direct collection of monthly assessments, rental fees, and deposits and payment of insurance premiums, mortgage, taxes, and incurred operating expenses.",direct collection of monthly assessments rental fees and deposits and payment of insurance premiums mortgage taxes and incurred operating expenses,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.0025526728079719343,0.0031421262244472354,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.5976699999999999,4.42,95.0,False,2.239076923076923,4.46,100.0,False
Meet with boards of directors and committees to discuss and resolve legal and environmental issues or disputes between neighbors.,meet with boards of directors and committees to discuss and resolve legal and environmental issues or disputes between neighbors,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.0021272273399766655,0.002618438520372763,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.1762019230769231,3.88,80.0,False,0.10173076923076924,3.26,76.92,False
"Meet with clients to negotiate management and service contracts, determine priorities, and discuss the financial and operational status of properties.",meet with clients to negotiate management and service contracts determine priorities and discuss the financial and operational status of properties,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.006913488854924104,0.008509925191211404,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.2855769230769231,4.4,100.0,False,0.7484999999999999,4.12,96.15,False
"Determine and certify the eligibility of prospective tenants, following government regulations.",determine and certify the eligibility of prospective tenants following government regulations,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Supplemental,26.0,Occupational Expert,1.0,0.001808143238980154,0.0022256727423168336,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.2798161538461539,4.0,65.0,False,1.382986923076923,4.44,61.54,False
"Market vacant space to prospective tenants through leasing agents, advertising, or other methods.",market vacant space to prospective tenants through leasing agents advertising or other methods,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.00233995007397426,0.0028802823724099493,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.65813,4.21,70.0,False,1.8833842307692308,4.28,69.23,False
"Meet with prospective tenants to show properties, explain terms of occupancy, and provide information about local areas.",meet with prospective tenants to show properties explain terms of occupancy and provide information about local areas,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.004892622881946275,0.006022408596857285,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.6989276923076924,3.83,60.0,False,1.5157950000000002,4.28,69.23,False
"Manage and oversee operations, maintenance, administration, and improvement of commercial, industrial, or residential properties.",manage and oversee operations maintenance administration and improvement of commercial industrial or residential properties,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.009572523029894957,0.011782973341677383,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,2.9,4.55,100.0,False,5.474769230769231,4.65,100.0,False
"Negotiate the sale, lease, or development of property and complete or review appropriate documents and forms.",negotiate the sale lease or development of property and complete or review appropriate documents and forms,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Supplemental,26.0,Occupational Expert,1.0,0.008934354827901933,0.010997441785565524,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.16292076923076923,3.55,55.0,False,1.2361311538461537,4.0,57.69,False
"Plan, schedule, and coordinate general maintenance, major repairs, and remodeling or construction projects for commercial or residential properties.",plan schedule and coordinate general maintenance major repairs and remodeling or construction projects for commercial or residential properties,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.004254454679953331,0.005236877040745526,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,1.777478846153846,4.47,95.0,False,2.615846153846154,4.46,100.0,False
"Investigate complaints, disturbances and violations and resolve problems following management rules and regulations.",investigate complaints disturbances and violations and resolve problems following management rules and regulations,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.0020208659729778287,0.0024875165943541197,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.7262307692307692,4.06,90.0,False,0.6343003846153846,3.92,100.0,False
Prepare detailed budgets and financial reports for properties.,prepare detailed budgets and financial reports for properties,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.0015954205049824792,0.001963828890279547,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.16251,4.63,95.0,False,0.1274326923076923,4.27,100.0,False
"Maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.",maintain records of sales rental or usage activity special permits issued maintenance and operating costs or property availability,11-9141.00,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Core,26.0,Occupational Expert,1.0,0.011167943534877434,0.01374680223195693,Management Occupations,1.0,32.07,66700.0,28.42,59100.0,296640.0,3210.0,26.63,55380.0,36.2168,75316.8,19.12,39760.0,26.003200000000003,54073.600000000006,174410.0,2110.0,0.1923892863345885,0.15347983246313615,0.12647877040676692,0.11203678629646738,0.46155230769230765,3.89,90.0,False,1.2321538461538462,4.24,96.15,False
"Prepare and maintain records and reports, such as budgets, personnel records, or training manuals.",prepare and maintain records and reports such as budgets personnel records or training manuals,11-9151.00,Social and Community Service Managers,social and community service managers,Core,72.0,Incumbent,1.0,0.0046799001479486,0.005760564744819999,Management Occupations,1.0,37.61,78240.0,37.31,77600.0,195490.0,2020.0,30.54,63530.0,41.534400000000005,86400.8,26.57,55260.0,36.135200000000005,75153.6,119770.0,1060.0,0.12678728959529634,0.09658232447835982,0.0868548955427927,0.05628388316315423,1.144008846153846,4.21,90.36,False,1.450128846153846,3.78,92.37,False
Research and analyze member or community needs to determine program directions and goals.,research and analyze member or community needs to determine program directions and goals,11-9151.00,Social and Community Service Managers,social and community service managers,Core,72.0,Incumbent,1.0,0.005956236551934648,0.007331627857043717,Management Occupations,1.0,37.61,78240.0,37.31,77600.0,195490.0,2020.0,30.54,63530.0,41.534400000000005,86400.8,26.57,55260.0,36.135200000000005,75153.6,119770.0,1060.0,0.12678728959529634,0.09658232447835982,0.0868548955427927,0.05628388316315423,1.060841923076923,3.89,83.99,False,0.2337426923076923,3.71,91.84,False
"Speak to community groups to explain and interpret agency purposes, programs, and policies.",speak to community groups to explain and interpret agency purposes programs and policies,11-9151.00,Social and Community Service Managers,social and community service managers,Core,72.0,Incumbent,1.0,0.00393537057895682,0.0048441112626895965,Management Occupations,1.0,37.61,78240.0,37.31,77600.0,195490.0,2020.0,30.54,63530.0,41.534400000000005,86400.8,26.57,55260.0,36.135200000000005,75153.6,119770.0,1060.0,0.12678728959529634,0.09658232447835982,0.0868548955427927,0.05628388316315423,0.42212346153846153,3.42,89.92,False,0.21660153846153846,3.22,83.84,False
Evaluate the work of staff and volunteers to ensure that programs are of appropriate quality and that resources are used effectively.,evaluate the work of staff and volunteers to ensure that programs are of appropriate quality and that resources are used effectively,11-9151.00,Social and Community Service Managers,social and community service managers,Core,71.0,Incumbent,1.0,0.0029781182759672834,0.003665813928521808,Management Occupations,1.0,37.61,78240.0,37.31,77600.0,195490.0,2020.0,30.54,63530.0,41.534400000000005,86400.8,26.57,55260.0,36.135200000000005,75153.6,119770.0,1060.0,0.12678728959529634,0.09658232447835982,0.0868548955427927,0.05628388316315423,1.3156703846153845,4.32,93.61,False,1.4085542307692307,4.37,92.39,False
Design and administer emergency or disaster preparedness training courses that teach people how to effectively respond to major emergencies and disasters.,design and administer emergency or disaster preparedness training courses that teach people how to effectively respond to major emergencies and disasters,11-9161.00,Emergency Management Directors,emergency management directors,Core,27.0,Occupational Expert,1.0,0.0015954205049824792,0.001963828890279547,Management Occupations,1.0,41.41,86130.0,38.34,79750.0,12570.0,180.0,32.37,67330.0,44.0232,91568.8,30.86,64190.0,41.9696,87298.40000000001,9840.0,180.0,0.008152418181046985,0.00860634574559642,0.007135778342999752,0.009557640537139398,0.07674846153846154,4.09,100.0,False,0.1336923076923077,4.19,96.3,False
Develop instructional materials for the public and make presentations to citizens' groups to provide information on emergency plans and their implementation processes.,develop instructional materials for the public and make presentations to citizens groups to provide information on emergency plans and their implementation processes,11-9161.00,Emergency Management Directors,emergency management directors,Core,27.0,Occupational Expert,1.0,0.0020208659729778287,0.0024875165943541197,Management Occupations,1.0,41.41,86130.0,38.34,79750.0,12570.0,180.0,32.37,67330.0,44.0232,91568.8,30.86,64190.0,41.9696,87298.40000000001,9840.0,180.0,0.008152418181046985,0.00860634574559642,0.007135778342999752,0.009557640537139398,0.10231307692307692,3.55,100.0,False,0.05448692307692308,3.62,88.89,False
"Prepare plans that outline operating procedures to be used in response to disasters or emergencies, such as hurricanes, nuclear accidents, and terrorist attacks, and in recovery from these events.",prepare plans that outline operating procedures to be used in response to disasters or emergencies such as hurricanes nuclear accidents and terrorist attacks and in recovery from these events,11-9161.00,Emergency Management Directors,emergency management directors,Core,27.0,Occupational Expert,1.0,0.00233995007397426,0.0028802823724099493,Management Occupations,1.0,41.41,86130.0,38.34,79750.0,12570.0,180.0,32.37,67330.0,44.0232,91568.8,30.86,64190.0,41.9696,87298.40000000001,9840.0,180.0,0.008152418181046985,0.00860634574559642,0.007135778342999752,0.009557640537139398,0.05698807692307693,4.29,100.0,False,0.17860115384615385,4.38,96.3,False
Represent organizations before domestic or international regulatory agencies on major policy matters or decisions regarding company products.,represent organizations before domestic or international regulatory agencies on major policy matters or decisions regarding company products,11-9199.01,Regulatory Affairs Managers,regulatory affairs managers,Core,33.0,Occupational Expert,1.0,0.010848859433881006,0.013354036453901102,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,94196.0,998.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,43316.0,274.0,0.06109189999856019,0.04771740585614015,0.0314119283237172,0.014548852817645527,0.03996423076923077,4.36,100.0,False,0.07125269230769232,3.9,90.91,False
Monitor emerging trends regarding industry regulations to determine potential impacts on organizational processes.,monitor emerging trends regarding industry regulations to determine potential impacts on organizational processes,11-9199.01,Regulatory Affairs Managers,regulatory affairs managers,Core,33.0,Occupational Expert,1.0,0.005211706982942787,0.006415174374913213,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,94196.0,998.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,43316.0,274.0,0.06109189999856019,0.04771740585614015,0.0314119283237172,0.014548852817645527,0.2916542307692308,3.41,95.65,False,0.42757961538461536,3.61,100.0,False
Review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met,11-9199.01,Regulatory Affairs Managers,regulatory affairs managers,Core,33.0,Occupational Expert,1.0,0.0020208659729778287,0.0024875165943541197,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,94196.0,998.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,43316.0,274.0,0.06109189999856019,0.04771740585614015,0.0314119283237172,0.014548852817645527,0.24296,3.95,100.0,False,0.9501726923076923,4.07,90.91,False
Establish procedures or systems for publishing document submissions either in hardcopy or electronic formats.,establish procedures or systems for publishing document submissions either in hardcopy or electronic formats,11-9199.01,Regulatory Affairs Managers,regulatory affairs managers,Core,33.0,Occupational Expert,1.0,0.04956439702145634,0.06100961752468541,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,94196.0,998.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,43316.0,274.0,0.06109189999856019,0.04771740585614015,0.0314119283237172,0.014548852817645527,0.40614673076923075,4.096666666666667,96.37666666666667,True,0.14139307692307693,3.59,90.91,False
Investigate product complaints and prepare documentation and submissions to appropriate regulatory agencies as necessary.,investigate product complaints and prepare documentation and submissions to appropriate regulatory agencies as necessary,11-9199.01,Regulatory Affairs Managers,regulatory affairs managers,Core,33.0,Occupational Expert,1.0,0.004254454679953331,0.005236877040745526,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,94196.0,998.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,43316.0,274.0,0.06109189999856019,0.04771740585614015,0.0314119283237172,0.014548852817645527,0.33440153846153853,4.47,82.61,False,0.38583769230769227,4.11,84.85,False
"Maintain current knowledge of relevant regulations, including proposed and final rules.",maintain current knowledge of relevant regulations including proposed and final rules,11-9199.01,Regulatory Affairs Managers,regulatory affairs managers,Core,33.0,Occupational Expert,1.0,0.004892622881946275,0.006022408596857285,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,94196.0,998.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,43316.0,274.0,0.06109189999856019,0.04771740585614015,0.0314119283237172,0.014548852817645527,0.9626373076923076,4.09,100.0,False,1.6388803846153845,4.3,100.0,False
"Provide regulatory guidance to departments or development project teams regarding design, development, evaluation, or marketing of products.",provide regulatory guidance to departments or development project teams regarding design development evaluation or marketing of products,11-9199.01,Regulatory Affairs Managers,regulatory affairs managers,Core,33.0,Occupational Expert,1.0,0.010529775332884492,0.012961270675845172,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,94196.0,998.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,43316.0,274.0,0.06109189999856019,0.04771740585614015,0.0314119283237172,0.014548852817645527,0.5652630769230769,4.3,100.0,False,2.803576923076923,4.53,96.97,False
Advise internal management or business partners on the implementation or operation of compliance programs.,advise internal management or business partners on the implementation or operation of compliance programs,11-9199.02,Compliance Managers,compliance managers,Core,56.0,Incumbent,1.0,0.0035099251109614706,0.004320423558615024,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,29601.0,314.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,13612.0,86.0,0.019198069258327108,0.015013292022873754,0.009871160041149655,0.004566428256633268,0.8392384615384616,3.94,81.95,False,0.46574038461538464,4.17,94.53,False
Conduct periodic internal reviews or audits to ensure that compliance procedures are followed.,conduct periodic internal reviews or audits to ensure that compliance procedures are followed,11-9199.02,Compliance Managers,compliance managers,Core,57.0,Incumbent,1.0,0.0015954205049824792,0.001963828890279547,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,29601.0,314.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,13612.0,86.0,0.019198069258327108,0.015013292022873754,0.009871160041149655,0.004566428256633268,0.2245830769230769,4.0,83.71,False,0.5263426923076924,4.36,88.43,False
Identify compliance issues that require follow-up or investigation.,identify compliance issues that require followup or investigation,11-9199.02,Compliance Managers,compliance managers,Core,57.0,Incumbent,1.0,0.003616286477960308,0.004451345484633667,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,29601.0,314.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,13612.0,86.0,0.019198069258327108,0.015013292022873754,0.009871160041149655,0.004566428256633268,1.3120603846153847,4.41,95.74,False,1.0102296153846153,4.4,99.71,False
Verify that software technology is in place to adequately provide oversight and monitoring in all required areas.,verify that software technology is in place to adequately provide oversight and monitoring in all required areas,11-9199.02,Compliance Managers,compliance managers,Supplemental,53.0,Incumbent,1.0,0.003722647844959146,0.004582267410652311,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,29601.0,314.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,13612.0,86.0,0.019198069258327108,0.015013292022873754,0.009871160041149655,0.004566428256633268,0.7709888461538461,3.43,53.14,False,0.31388076923076924,3.51,59.75,False
"Serve as a confidential point of contact for employees to communicate with management, seek clarification on issues or dilemmas, or report irregularities.",serve as a confidential point of contact for employees to communicate with management seek clarification on issues or dilemmas or report irregularities,11-9199.02,Compliance Managers,compliance managers,Core,56.0,Incumbent,1.0,0.001808143238980154,0.0022256727423168336,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,29601.0,314.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,13612.0,86.0,0.019198069258327108,0.015013292022873754,0.009871160041149655,0.004566428256633268,2.3191057692307693,4.09,78.36,False,1.46637,4.35,84.42,False
"Maintain documentation of compliance activities, such as complaints received or investigation outcomes.",maintain documentation of compliance activities such as complaints received or investigation outcomes,11-9199.02,Compliance Managers,compliance managers,Core,57.0,Incumbent,1.0,0.001808143238980154,0.0022256727423168336,Management Occupations,1.0,65.65,136550.0,65.65,136550.0,29601.0,314.0,50.41,104850.0,68.5576,142596.0,44.06,91630.0,59.921600000000005,124616.8,13612.0,86.0,0.019198069258327108,0.015013292022873754,0.009871160041149655,0.004566428256633268,0.9657538461538462,4.24,91.84,False,2.088135769230769,4.63,93.34,False
